#Sample Identifier	Patient Identifier	Tissue Supergroup	Metastatic Tissue Site	Primary Tissue Site	Oncotree Code	Freeze Media	Final Analysis Set	CCLE ID	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic Status	DepMap ID
#Sample identifier	Patient identifier	Sample tissue supergroup	Metastatic tissue site	Primary tissue site	Oncotree code	Cell line freeze media	Indicates if the sample was included in the final analysis set	CCLE ID 	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic status 	DepMap ID mapping for cell lines included in the DepMap CCLE study 
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
#1	0	0	1	1	1	0	1	0	0	1	1	1	0
SAMPLE_ID	PATIENT_ID	TISSUE_SUPERGROUP	METASTATIC_SITE	PRIMARY_SITE	ONCOTREE_CODE	FREEZE_MEDIA	ANALYSIS_SET	CCLE_ID	SANGER_ID	CANCER_TYPE	CANCER_TYPE_DETAILED	SOMATIC_STATUS	SAMPLE_DISPLAY_NAME
S-A-431	P-A-431	Skin	NA	Skin	CSCC	Complete growth medium, 90%; DMSO, 10%	True	NA	A431	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	Matched	
S-A-498	P-A-498	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	A-498	A498	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	A498_KIDNEY
S-A-673	P-A-673	Sarcomatoid	NA	Skeletal Muscle	RMS	Complete growth medium, 90%; DMSO, 10%	True	A-673	A673	Soft Tissue Sarcoma	Rhabdomyosarcoma	Matched	A673_BONE
S-A172	P-A172	Brain	NA	Brain	GB	90% FBS; 10% DMSO	True	A172	A172	Glioma	Glioblastoma, IDH-wildtype	Matched	A172_CENTRAL_NERVOUS_SYSTEM
S-A2058	P-A2058	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	A2058	A2058	Melanoma	Melanoma	Matched	A2058_SKIN
S-A2780	P-A2780	Ovary	NA	Ovary	OOVC	Complete growth media, 90%; DMSO, 10%	True	A2780	A2780	Ovarian Cancer	Ovarian Cancer, Other	Matched	A2780_OVARY
S-A3-KAW	P-A3-KAW	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	A3/KAW	A3-KAW	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-A4-Fuk	P-A4-Fuk	Lymphoid	NA	Blood	NHL	Complete growth medium, 90%; DMSO, 10%	True	A4/Fuk	A4-Fuk	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	Matched	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-A549	P-A549	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	A549	A549	Lung Cancer	Lung	Matched	A549_LUNG
S-ABC-1	P-ABC-1	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	ABC-1	ABC-1	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	ABC1_LUNG
S-ACHN	P-ACHN	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	ACHN	ACHN	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	ACHN_KIDNEY
S-AGS	P-AGS	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	AGS	AGS	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	AGS_STOMACH
S-AMO-1	P-AMO-1	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	AMO-1	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-AN3-CA	P-AN3-CA	Uterus	NA	Uterus	UCEC	Complete growth medium, 90%; DMSO, 10%	True	AN3 CA	AN3-CA	Endometrial Cancer	Endometrial Carcinoma	Matched	AN3CA_ENDOMETRIUM
S-AsPC-1	P-AsPC-1	Pancreas	NA	Pancreas	PAAD	90% Complete growth media; 10% DMSO	True	AsPC-1	AsPC-1	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	ASPC1_PANCREAS
S-ATRFLOX	P-ATRFLOX	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-BEN	P-BEN	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	BEN	BEN	Lung Cancer	Lung	Matched	BEN_LUNG
S-BFTC-905	P-BFTC-905	Urinary Bladder	NA	Urinary Bladder	BLCA	Complete growth medium, 90%; DMSO, 10%	True	BFTC-905	BFTC-905	Bladder Cancer	Bladder Urothelial Carcinoma	Matched	BFTC905_URINARY_TRACT
S-BFTC-909	P-BFTC-909	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	BFTC-909	BFTC-909	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	BFTC909_KIDNEY
S-BHY	P-BHY	Head-Neck	NA	Oral Cavity	OCSC	Complete growth medium, 90%; DMSO, 10%	True	BHY	BHY	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	Matched	BHY_UPPER_AERODIGESTIVE_TRACT
S-BICR-10	P-BICR-10	Head-Neck	NA	Oral Cavity	OCSC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	Matched	
S-BICR-22	P-BICR-22	Head-Neck	NA	Tongue	HNSC	Complete growth medium, 90%; DMSO, 10%	True	BICR 22	NA	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	Matched	BICR22_UPPER_AERODIGESTIVE_TRACT
S-BICR-31	P-BICR-31	Head-Neck	NA	Tongue	HNSC	Complete growth medium, 90%; DMSO, 10%	True	BICR 31	NA	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	Matched	BICR31_UPPER_AERODIGESTIVE_TRACT
S-BICR-78	P-BICR-78	Head-Neck	NA	Oral Cavity	OCSC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	Matched	
S-BJAB	P-BJAB	Lymphoid	NA	Lymph Node	MBN	RPMI-1640, 20% HI FBS, 10% DMSO	True	NA	NA	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Matched	
S-BT-20	P-BT-20	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	BT-20	BT-20	Breast Cancer	Invasive Breast Carcinoma	Matched	BT20_BREAST
S-BT-474	P-BT-474	Breast	Soft Tissue	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	BT-474	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	BT474_BREAST
S-BT-483	P-BT-483	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	BT-483	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	BT483_BREAST
S-BT-549	P-BT-549	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	BT-549	BT-549	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	BT549_BREAST
S-BxPC-3	P-BxPC-3	Pancreas	NA	Pancreas	PAAD	Complete growth medium, 90%; DMSO, 10%	True	BxPC-3	BxPC-3	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	BXPC3_PANCREAS
S-C-33A	P-C-33A	Cervix	NA	Cervix	CEAD	Complete growth medium, 90%; DMSO, 10%	True	NA	C-33-A	Cervical Cancer	Cervical Adenocarcinoma	Matched	
S-C170	P-C170	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-C2BBe1	P-C2BBe1	Colo-Rectal	NA	Colon	COAD	90% FBS; 10% DMSO	True	C2BBe1	C2BBe1	Colorectal Cancer	Colon Adenocarcinoma	Matched	C2BBE1_LARGE_INTESTINE
S-C32	P-C32	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	C32	C32	Melanoma	Melanoma	Matched	C32_SKIN
S-C32TG	P-C32TG	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Melanoma	Melanoma	Matched	
S-C3A	P-C3A	Liver	NA	Liver	HCC	NA	False	C3A	C3A	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	C3A_LIVER
S-CA-Ski	P-CA-Ski	Cervix	NA	Cervix	CEAD	Complete growth medium, 90%; DMSO, 10%	True	NA	Ca-Ski	Cervical Cancer	Cervical Adenocarcinoma	Matched	
S-CA46	P-CA46	Lymphoid	NA	Blood	BL	Complete growth medium, 90%; DMSO, 10%	True	CA46	CA46	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-Caco-2	P-Caco-2	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-Caki-1	P-Caki-1	Kidney	NA	Kidney	CCSK	Complete growth medium, 90%; DMSO, 10%	True	Caki-1	CAKI-1	Clear Cell Sarcoma of Kidney	Clear Cell Sarcoma of Kidney	Matched	CAKI1_KIDNEY
S-Caki-2	P-Caki-2	Kidney	NA	Kidney	RCC	FBS, 90%; DMSO, 10%	True	Caki-2	NA	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	CAKI2_KIDNEY
S-CAL27	P-CAL27	Head-Neck	NA	Tongue	HNSC	Complete growth medium, 90%; DMSO, 10%	True	CAL 27	CAL-27	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	Matched	CAL27_UPPER_AERODIGESTIVE_TRACT
S-CAL54	P-CAL54	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	CAL-54	CAL-54	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	CAL54_KIDNEY
S-CAL-120	P-CAL-120	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	CAL-120	CAL-120	Breast Cancer	Invasive Breast Carcinoma	Matched	CAL120_BREAST
S-CAL-12T	P-CAL-12T	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	CAL-12T	CAL-12T	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	CAL12T_LUNG
S-CAL-148	P-CAL-148	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	CAL-148	CAL-148	Breast Cancer	Invasive Breast Carcinoma	Matched	CAL148_BREAST
S-CAL-85-1	P-CAL-85-1	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	CAL-85-1	CAL-85-1	Breast Cancer	Invasive Breast Carcinoma	Matched	CAL851_BREAST
S-CAL51	P-CAL51	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	CAL-51	CAL-51	Breast Cancer	Invasive Breast Carcinoma	Matched	CAL51_BREAST
S-Calu-1	P-Calu-1	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	Calu-1	Calu-1	Lung Cancer	Lung	Matched	CALU1_LUNG
S-Calu-3	P-Calu-3	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	Calu-3	Calu-3	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	CALU3_LUNG
S-Calu-6	P-Calu-6	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	Calu-6	Calu-6	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	CALU6_LUNG
S-CAMA-1	P-CAMA-1	Breast	NA	Breast	BRCA	Complete growth media, 10% DMSO	True	CAMA-1	CAMA-1	Breast Cancer	Invasive Breast Carcinoma	Matched	CAMA1_BREAST
S-Caov-3	P-Caov-3	Ovary	NA	Ovary	OOVC	FBS, 90%; DMSO, 10%	True	Caov-3	Caov-3	Ovarian Cancer	Ovarian Cancer, Other	Matched	CAOV3_OVARY
S-Capan-1	P-Capan-1	Pancreas	NA	Pancreas	PAAD	90% FBS; 10% DMSO	True	Capan-1	CAPAN-1	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	CAPAN1_PANCREAS
S-Capan-2	P-Capan-2	Pancreas	NA	Pancreas	PAAD	90% FBS; 10% DMSO	True	Capan-2	Capan-2	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	CAPAN2_PANCREAS
S-CaR-1	P-CaR-1	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	NA	CaR-1	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-CCRF-SB	P-CCRF-SB	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	
S-CFPAC-1	P-CFPAC-1	Pancreas	NA	Pancreas	PAAD	90% FBS; 10% DMSO	True	CFPAC-1	CFPAC-1	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	CFPAC1_PANCREAS
S-ChaGo-K-1	P-ChaGo-K-1	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	ChaGo-K-1	ChaGo-K-1	Lung Cancer	Lung	Matched	CHAGOK1_LUNG
S-CHL-1	P-CHL-1	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	CHL-1	CHL-1	Melanoma	Melanoma	Matched	CHL1_SKIN
S-CHS-212	P-CHP-212	Brain	NA	Brain	NBL	Complete growth medium, 90%; DMSO, 10%	True	CHP-212	CHP-212	Peripheral Nervous System	Neuroblastoma	Matched	CHP212_AUTONOMIC_GANGLIA
S-CI-1	P-CI-1	Lymphoid	NA	Lymph Node	NHL	Complete growth medium, 90%; DMSO, 10%	True	CI-1	NA	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	Matched	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-CL-11	P-CL-11	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	CL-11	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	CL11_LARGE_INTESTINE
S-CL-34	P-CL-34	Colo-Rectal	NA	Colon	COAD	90% FBS, 10% DMSO	True	CL-34	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	CL34_LARGE_INTESTINE
S-CL-40	P-CL-40	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	CL-40	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	CL40_LARGE_INTESTINE
S-COLO-201	P-COLO-201	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	COLO 201	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	COLO201_LARGE_INTESTINE
S-COLO-205	P-COLO-205	Colo-Rectal	Ascites	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	COLO 205	COLO-205	Colorectal Cancer	Colon Adenocarcinoma	Matched	COLO205_LARGE_INTESTINE
S-COLO-206F	P-COLO-206F	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-COLO-320DM	P-COLO-320DM	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-COLO-678	P-COLO-678	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	COLO-678	COLO-678	Colorectal Cancer	Colon Adenocarcinoma	Matched	COLO678_LARGE_INTESTINE
S-COLO-679	P-COLO-679	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	COLO-679	COLO-679	Melanoma	Melanoma	Matched	COLO679_SKIN
S-COLO-680N	P-COLO-680N	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	COLO-680N	COLO-680N	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	COLO680N_OESOPHAGUS
S-COLO-699	P-COLO-699	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	
S-COLO-741	P-COLO-741	Colo-Rectal	NA	Colon	COAD	90% Complete growth media, 10% DMSO	True	COLO 741	COLO-741	Colorectal Cancer	Colon Adenocarcinoma	Matched	COLO741_SKIN
S-COLO-792	P-COLO-792	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	COLO 792	COLO-792	Melanoma	Melanoma	Matched	COLO792_SKIN
S-COLO-794	P-COLO-794	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Melanoma	Melanoma	Matched	
S-COLO-800	P-COLO-800	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	COLO-800	COLO-800	Melanoma	Melanoma	Matched	COLO800_SKIN
S-COLO-829	P-COLO-829	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	COLO 829	NA	Melanoma	Melanoma	Matched	COLO829_SKIN
S-COLO-849	P-COLO-849	Skin	Lymph Node	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	COLO-849	NA	Melanoma	Melanoma	Matched	COLO849_SKIN
S-COLO-853	P-COLO-853	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Melanoma	Melanoma	Matched	
S-COLO-857	P-COLO-857	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Melanoma	Melanoma	Matched	
S-COLO-704	P-COLO-704	Ovary	NA	Ovary	OOVC	FBS, 90%; DMSO, 10%	True	COLO-704	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	COLO704_OVARY
S-COLO-783	P-COLO-783	Skin	Lymph Node	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	COLO-783	NA	Melanoma	Melanoma	Matched	COLO783_SKIN
S-COLO-818	P-COLO-818	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Melanoma	Melanoma	Matched	
S-COR-L26	P-COR-L26	Lung	NA	Lung	LCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Matched	
S-COR-L279	P-COR-L279	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	COR-L279	COR-L279	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	CORL279_LUNG
S-COR-L47	P-COR-L47	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	COR-L47	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	CORL47_LUNG
S-COR-L88	P-COR-L88	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	COR-L88	COR-L88	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	CORL88_LUNG
S-COV318	P-COV318	Ovary	Ascites	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	COV318	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	COV318_OVARY
S-COV362	P-COV362	Ovary	Pleura	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	COV362	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	COV362_OVARY
S-COV413A	P-COV413A	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	
S-COV413B	P-COV413B	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	
S-COV434	P-COV434	Ovary	NA	Ovary	GRCT	Complete growth medium, 90%; DMSO, 10%	True	COV434	NA	Sex Cord Stromal Tumor	Granulosa Cell Tumor	Matched	COV434_OVARY
S-COV504	P-COV504	Ovary	Pleura	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	COV504	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	COV504_OVARY
S-COV644	P-COV644	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	COV644	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	COV644_OVARY
S-CPC-N	P-CPC-N	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	CPC-N	CPC-N	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	CPCN_LUNG
S-CW-2	P-CW-2	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	CW-2	CW-2	Colorectal Cancer	Colon Adenocarcinoma	Matched	CW2_LARGE_INTESTINE
S-CX-1	P-CX-1	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-DAN-G	P-DAN-G	Pancreas	NA	Pancreas	PAAD	Complete growth medium, 90%; DMSO, 10%	True	DAN-G	NA	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	DANG_PANCREAS
S-Daudi	P-Daudi	Lymphoid	NA	Blood	BL	Complete growth medium, 90%; DMSO, 10%	True	Daudi	Daudi	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-DB	P-DB	Lymphoid	NA	Lymph Node	MBN	Complete growth media, 90%; DMSO, 10%	True	DB	DB	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Matched	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-DEOC-1	P-DEOC-1	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Melanoma	Melanoma	Matched	
S-Detroit562	P-Detroit562	Head-Neck	NA	Nasal Pharynx	OHNCA	90% FBS; DMSO, 10%	True	Detroit 562	Detroit562	Head and Neck Cancer	Head and Neck Carcinoma, Other	Matched	DETROIT562_UPPER_AERODIGESTIVE_TRACT
S-DLD-1	P-DLD-1	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	DLD-1	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	DLD1_LARGE_INTESTINE
S-DMS-273	P-DMS-273	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	DMS 273	DMS-273	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	DMS273_LUNG
S-DMS-454	P-DMS-454	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	DMS 454	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	DMS454_LUNG
S-DMS-53	P-DMS-53	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	DMS 53	DMS-53	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	DMS53_LUNG
S-DMS-79	P-DMS-79	Lung	NA	Lung	SCLC	Complete growth medium, 90%; DMSO, 10%	True	DMS 79	DMS-79	Small Cell Lung Cancer	Small Cell Lung Cancer	Matched	DMS79_LUNG
S-DOHH-2	P-DOHH-2	Lymphoid	Effusion, Pleural	Lymph Node	MBN	90% Complete growth medium; 10% DMSO	True	DOHH-2	DOHH-2	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Matched	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-DOK	P-DOK	Head-Neck	NA	Tongue	OHNCA	Complete growth medium, 90%; DMSO, 10%	True	NA	DOK	Head and Neck Cancer	Head and Neck Carcinoma, Other	Matched	
S-DOR-13	P-DOR-13	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	
S-DU145	P-DU145	Other	NA	Prostate	PROSTATE	Complete growth medium, 90%; DMSO, 10%	True	DU 145	DU-145	Prostate Cancer	Prostate	Matched	DU145_PROSTATE
S-DU4475	P-DU4475	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	DU4475	DU-4475	Breast Cancer	Invasive Breast Carcinoma	Matched	DU4475_BREAST
S-DV-90	P-DV-90	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	DV-90	DV-90	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	DV90_LUNG
