NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	ATTRIBUTE_TYPE	PRIORITY	CATEGORY	VOCABULARY	COLOR	FLAG
ALTERNATE_THERAPY_OTHER	Other Alternative Therapy Given	Other Alternative Therapy Given	STRING	PATIENT	1				
ALT_COUNT	Alt Count	Alt Count	NUMBER	SAMPLE	1				
ALT_FREQUENCY	Alt Frequency	Alt Frequency	NUMBER	SAMPLE	1				
AML_DIAGNOSIS	AML Diagnosis	AML Diagnosis	STRING	PATIENT	1				
AML_IN_SKIN_PERCENTAGE	AML in Skin Percentage	AML in skin, determined by WGS.	NUMBER	PATIENT	1				
AMOUNT	Amount	Amount	STRING	SAMPLE	1				
AMPLIFICATION_1P	1p Amplification	1p Amplification	STRING	SAMPLE	1				
AMPLIFICATION_1Q	1q Amplification	1q Amplification	STRING	SAMPLE	1				
AMPLIFICATION_STATUS	Amplification Status	Amplification Status	STRING	SAMPLE	1				
AMP_12Q15_CDK4	AMP 12q15 CDK4	AMP 12q15 CDK4	STRING	SAMPLE	1				
AMP_12Q15_DDIT3	AMP 12q15 DDIT3	AMP 12q15 DDIT3	STRING	SAMPLE	1				
AMP_12Q15_FRS2	AMP 12q15 FRS2	AMP 12q15 FRS2	STRING	SAMPLE	1				
AMP_12Q15_HMGA2	AMP 12q15 HMGA2	AMP 12q15 HMGA2	STRING	SAMPLE	1				
AMP_12Q15_MDM2	AMP 12q15 MDM2	AMP 12q15 MDM2	STRING	SAMPLE	1				
AMP_FEATURE	Amp Feature	Amp Feature	STRING	SAMPLE	1				
ANALYSIS_COHORT	Analysis Cohort	Analysis Cohort	STRING	SAMPLE	1				
ANALYSIS_COHORT_CA	ICC-CA	ICC evaluated by computational analysis	STRING	PATIENT	1				
ANALYSIS_COHORT_HA	ICC-HA	Resected ICC evaluated by semi-quantitative histological assessment	STRING	SAMPLE	1				
ANALYSIS_ID	analysis id	analysis id	STRING	SAMPLE	1				
ANALYSIS_TYPE	Analysis Type	Type of analysis performed	STRING	SAMPLE	1				
ANAPLASTIC_PERCENTAGE	Anaplastic Percentage	Anaplastic Percentage	STRING	PATIENT	1				
ANATOMICAL_SUBTYPE	Anatomical Subtype	Anatomical Subtype	STRING	SAMPLE	1				
ANATOMIC_REGION	Anatomic Region	Anatomic Region.	STRING	PATIENT	1				
ANC_COUNT	ANC Count	ANC Count	STRING	PATIENT	1				
ANDROGEN_DEPRIVATION_THERAPY	Androgen Deprivation Therapy (ADT)	Androgen Deprivation Therapy (ADT)	STRING	PATIENT	1				
ANEUPLOIDY_SCORE	Aneuploidy Score	Aneuploidy Score	NUMBER	SAMPLE	1				
ANGIOLYMPHATIC_INVASION	Angiolymphatic Invasion	Presence of angiolymphatic invasion.	STRING	PATIENT	1				
ANIMAL_INSECT_ALLERGY_AGE	Animal Insect Allergy Age	Animal Insect Allergy Age	NUMBER	PATIENT	1				
ANIMAL_INSECT_ALLERGY_HIST	Animal Insect Allergy History	Animal insect allergy history.	STRING	PATIENT	1				
ANIMAL_INSECT_ALLERGY_TYPES	Animal Insect Allergy Types	Animal insect allergy types.	STRING	PATIENT	1				
ANTIREFLUX_TREATMENT	Anti-reflux Treatment	Anti-reflux treatment.	STRING	PATIENT	1				
ANTIREFLUX_TREATMENT_TYPE	Anti-reflux Treatment Type	Anti-reflux treatment type.	STRING	PATIENT	1				
ANTIRETROVIRAL_THERAPY_AT_DIAGNOSIS	Antiretroviral Therapy Status at Diagnosis	Yes/No indicator for antiretroviral therapy at diagnosis	STRING	PATIENT	1				
ANTI_O_VIVERRINI_IGG	anti_O_viverrini_IgG	anti_O_viverrini_IgG	STRING	SAMPLE	1				
ANY_THERAPY_2YRS	PRD Any Therapy More Than 2 Years	Patient-reported response to the question: Since your diagnosis with metastatic breast cancer, have you been on any of your cancer therapies for more than 2 years?	STRING	PATIENT	1				
ANY_THERAPY_XRC_RESPONSE	PRD Extraordinary Reponse to Any Therapy	Patient-reported response to the question: Have any of your therapies worked extraordinarily well - made your cancer disappear completely (resulting in no evidence of disease, NED) or resulted in a dramatic reduction in tumor size - for any period of time?	STRING	PATIENT	1				
APC_INTRON	APC Intron	APC Intron	STRING	SAMPLE	1				
ARCHER	Archer Panel	Archer Panel	STRING	SAMPLE	1				
ARHGAP26_ARHGAP6_CLDN18_REARRANGEMENT	ARHGAP26-ARHGAP6-CLDN18 Rearrangement	ARHGAP26-ARHGAP6-CLDN18 Rearrangement.	STRING	SAMPLE	1				
ARHGAP35_MUTATION_STATUS	ARHGAP35 Mutation Status	ARHGAP35 Mutation Status	STRING	SAMPLE	1				
ARID1A_MUTATION	ARID1A Mutation	ARID1A mutation is present.	STRING	SAMPLE	1				
ARID1A_PROTEIN_CODING	ARID1A Protein Coding	ARID1A Protein Coding	NUMBER	SAMPLE	1				
ARID5B_MUTATION_STATUS	ARID5B Mutation Status	ARID5B Mutation Status	STRING	SAMPLE	1				
ARMDRIVER_CN	ArmDriver CN	ArmDriver CN	STRING	SAMPLE	1				
ARM_SCNA_CLUSTER	Arm-level SCNA cluster assignment	Arm-level SCNA cluster assignment	STRING	SAMPLE	1				
ARNT_SOMATIC	ARNT Somatic Mutation	ARNT Somatic Mutation	STRING	SAMPLE	1				
AR_EXPRESSION	AR Expression	AR Expression	NUMBER	SAMPLE	1				
AR_HIGH	AR High	AR High	STRING	SAMPLE	1				
AR_MRNA	AR mRNA	AR mRNA	NUMBER	SAMPLE	1				
AR_PROTEIN	AR Protein	AR Protein	NUMBER	SAMPLE	1				
AR_SCORE	AR Score	AR score	NUMBER	SAMPLE	1				
AR_STATUS	AR Status	AR Status.	STRING	SAMPLE	1				
AR_V7_PRESENCE	AR V7 Presence	AR V7 Presence	NUMBER	SAMPLE	1				
AR_V7_RATIO	AR V7 Ratio	AR V7 Ratio	NUMBER	SAMPLE	1				
AR_V7_READS	AR V7 Reads	AR V7 Reads	NUMBER	SAMPLE	1				
AR_VALUE	AR Value	AR Value	STRING	SAMPLE	1				
ASBESTOS_EXPOSURE_AGE	Asbestos Exposure Age	Asbestos Exposure Age	STRING	PATIENT	1				
ASBESTOS_EXPOSURE_AGE_LAST	Asbestos Exposure Age Last	Asbestos Exposure Age Last	STRING	PATIENT	1				
ASBESTOS_EXPOSURE_SOURCE	Asbestos Exposure Source	Asbestos Exposure Source	STRING	PATIENT	1				
ASBESTOS_EXPOSURE_TYPE	Asbestos Exposure Type	Asbestos Exposure Type	STRING	PATIENT	1				
ASBESTOS_EXPOSURE_YEARS	Asbestos Exposure Years	Asbestos Exposure Years	STRING	PATIENT	1				
ASG_5ME	ASG_5ME	ASG 5ME.	STRING	SAMPLE	1				
ASSOCIATED_ADENOMA	Associated Adenoma	Associated Adenoma	STRING	PATIENT	1				
ASSOCIATED_BORDERLINE_OVARIAN_TUMOR	Associated Borderline Ovarian Tumor	Associated Borderline Ovarian Tumor	STRING	PATIENT	1				
ASSOCIATED_GENETIC_METABOLIC_DISEASE	Associated Genetic Metabolic Diseases	Associated Genetic Metabolic Diseases	STRING	PATIENT	1				
ASTHMA_ECZEMA_ALLERGY_FIRST_DIAGNOSIS	First Diagnosis of Asthma Eczema Allergy	First Diagnosis of Asthma Eczema Allergy	STRING	PATIENT	1				
ASTHMA_HISTORY	Asthma History	Asthma history.	STRING	PATIENT	1				
ASYMPTOMATIC_WEEKS	Asymptomatic (weeks)	Asymptomatic (weeks)	NUMBER	PATIENT	1				
ATM_MUT	ATM Mutation	ATM Mutation	NUMBER	SAMPLE	1				
ATM_MUTATION_STATUS	ATM Mutation Status	ATM Mutation Status	STRING	SAMPLE	1				
ATRA_EXPOSURE	Atra Exposure	Atra Exposure	STRING	SAMPLE	1				
ATRX_DELETION	ATRX Deletion	ATRX Deletion	STRING	SAMPLE	1				
ATRX_SOMATIC	ATRX Somatic Mutation	ATRX Somatic Mutation	STRING	SAMPLE	1				
ATRX_STATUS	ATRX status	ATRX status	STRING	SAMPLE	1				
ATR_MUTATION_STATUS	ATR Mutation Status	ATR Mutation Status	STRING	SAMPLE	1				
ATYPICAL_MITOTIC_FIGURES	Atypical Mitotic Figures	Atypical Mitotic Figures	STRING	PATIENT	1				
AT_PROCUREMENT_PROTHROMBIN_TIME_INR	Laboratory procedure prothrombin time result value	Laboratory procedure prothrombin time result value	NUMBER	PATIENT	1				
AURKA_FISH	AURKA FISH	AURKA FISH	STRING	SAMPLE	1				
AVERAGE_SAMPLE_ALLELE_FREQUENCY	Average Sample Allele Frequency	Average Sample Allele Frequency	STRING	SAMPLE	1				
AVE_DNA_PURITY	Average DNA Purity	Average DNA Purity	NUMBER	SAMPLE	1				
AVE_PLOIDY	Average Ploidy	Average ploidy	NUMBER	SAMPLE	1				
AVE_RNA_PURITY	Average RNA Purity	Average RNA Purity	NUMBER	SAMPLE	1				
AVG_CN_12Q13_15	avg CN 12q13~15	avg CN 12q13~15	STRING	SAMPLE	1				
A_C	A>C	A>C	STRING	SAMPLE	1				
A_G	A>G	A>G	STRING	SAMPLE	1				
A_T	A>T	A>T	STRING	SAMPLE	1				
BAIT_VERSION	Bait Version	Bait Version	STRING	SAMPLE	1				
BAP1_LOSS	BAP1 Loss	BAP1 Loss	STRING	SAMPLE	1				
BARRETTS_ESOPHAGUS	Barretts Esophagus	Barretts esophagus.	STRING	PATIENT	1				
BASELINE_BIOPSY_SITE	Baseline Biopsy site	Baseline Biopsy site	STRING	SAMPLE	1				
BASELINE_CNS_DISEASE	Baseline CNS Disease	Baseline CNS Disease	STRING	PATIENT	1				
BASELINE_EXTRAMEDULLARY_DISEASE	Baseline Extramedullary Disease	Baseline Extramedullary Disease	STRING	PATIENT	1				
BASOPHILS_COUNT	Basophils Cell Count	Basophils Cell Count	NUMBER	SAMPLE	1				
BATCH_NUMBER	Batch Number	Batch number.	STRING	SAMPLE	1				
BCFI_MONTHS	Breast Cancer-Free Interval Months	Breast Cancer-Free Interval Months (BCFI Months)	STRING	PATIENT	1				
BCFI_STATUS	Breast Cancer-Free Interval Status	Breast Cancer-Free Interval Status	STRING	PATIENT	1				
BCL2_BA	BCL2 Break Apart	BCL2 Break Apart	STRING	PATIENT	1				
BCL2_REAR	BCL2 Rearrangements	BCL2 Rearrangements	STRING	PATIENT	1				
BCL6_BA	BCL6 Break Apart	BCL6 Break Apart	STRING	PATIENT	1				
BCL6_REAR	BCL6 Rearrangements	BCL6 Rearrangements	STRING	PATIENT	1				
BCL6_STATUS	BCL6 Status	BCL6 Status	STRING	SAMPLE	1				
BCLC_STAGE	BCLC Stage	BCLC Stage	STRING	PATIENT	1				
BCR_ABL1_STATUS	BCR ABL1 Status	BCR ABL1 status	STRING	SAMPLE	1				
BCR_ABL_P190_NEGATIVE	Negative for BCR-ABL(p190)	Negative for BCR-ABL(p190)	STRING	SAMPLE	1				
BCR_ABL_P190_POSITIVE	Positive for BCR-ABL(p190)	Positive for BCR-ABL(p190)	STRING	SAMPLE	1				
BCR_ABL_P210_NEGATIVE	Negative for BCL-ABL(p210)	Negative for BCL-ABL(p210)	STRING	SAMPLE	1				
BCR_ABL_P210_POSITIVE	Positive for BCL-ABL(p210)	Positive for BCL-ABL(p210)	STRING	SAMPLE	1				
BCR_FOLLOWUP_BARCODE	BCR Followup Barcode	BCR Followup Barcode	STRING	PATIENT	1				
BCR_FOLLOWUP_UUID	BCR Followup UUID	BCR Followup UUID	STRING	PATIENT	1				
BCR_FREE_MONTHS	BCR Free Months	BCR Free Time in months	NUMBER	PATIENT	1				
BCR_PATIENT_BARCODE	BCR Patient Barcode	BCR Patient Barcode	STRING	PATIENT	1				
BCR_PATIENT_UUID	BCR patient uuid	BCR patient uuid	STRING	PATIENT	1				
BCR_SAMPLE_UUID	BCR sample uuid	BCR sample uuid	STRING	SAMPLE	1				
BCR_STATUS	BCR Status	BCR status.	STRING	PATIENT	1				
BCR_TREATMENT_BARCODE	BCR Treatment Barcode	BCR Treatment Barcode	STRING	PATIENT	1				
BEST_ORR	Best objective response rate	Best objective response rate	STRING	PATIENT	1				
BEST_RANO_RESPONSE	Best RANO Response	Best Response Assessment in Neuro-Oncology Criteria (RANO) Response	STRING	PATIENT	1				
BEST_RESPONSE_TO_ALKYLATING_AGENT	Best response to alkylating agent (temozolomide or dacarbazine)	Best response to alkylating agent (temozolomide or dacarbazine)	STRING	PATIENT	1				
BEST_RESPONSE_TO_EVEROLIMUS	Best response to everolimus	Best response to everolimus	STRING	PATIENT	1				
BEST_RESPONSE_TO_PLATINUM	Best response to platinum	Best response to platinum	STRING	PATIENT	1				
BEST_RESPONSE_TO_SUNITINIB	Best response to Sunitinib	Best response to Sunitinib	STRING	PATIENT	1				
BEST_RESPONSE_TO_THERAPY	Best Response to Therapy	Best Response to Therapy	STRING	PATIENT	1				
BETA_HCG_LEVELS	Beta HCG Levels	Beta HCG Levels	STRING	SAMPLE	1				
BIC_FILE_SAMPLE_ID	BIC File Sample ID	BIC File Sample ID	STRING	SAMPLE	1				
BIC_PATIENT_ID	BIC Patient ID	BIC Patient ID	STRING	PATIENT	1				
BILATERAL	Bilateral	Bilateral	STRING	PATIENT	1				
BILATERAL_DIAGNOSIS_TIMING_TYPE	Bilateral Diagnosis Timing Type	Bilateral Diagnosis Timing Type	STRING	SAMPLE	1				
BILIRUBIN_TOTAL	Bilirubin Total	Bilirubin Total	STRING	SAMPLE	1				
BILIRUBIN_TOTAL_NORMAL_RANGE_LOWER	Bilirubin Total Norm Range Lower	Bilirubin Total Norm Range Lower	NUMBER	PATIENT	1				
BILIRUBIN_TOTAL_NORMAL_RANGE_UPPER	Bilirubin Total Norm Range Upper	Bilirubin Total Norm Range Upper	NUMBER	PATIENT	1				
BILIRUBIN_TOTAL_NORM_RANGE_LOWER	Bilirubin Total Norm Range Lower	Bilirubin Total Norm Range Lower	NUMBER	SAMPLE	1				
BILIRUBIN_TOTAL_NORM_RANGE_UPPER	Bilirubin Total Norm Range Upper	Bilirubin Total Norm Range Upper	NUMBER	SAMPLE	1				
BIND	BIND	BIND.	STRING	SAMPLE	1				
BIOCHEMICAL_RECURRENCE_INDICATOR	Biochemical Recurrence Indicator	Biochemical Recurrence Indicator	STRING	PATIENT	1				
BIOCHEMICAL_TESTING	Biochemical Testing Performed	Biochemical Testing Performed	STRING	SAMPLE	1				
