Hugo_Symbol	TP_2061	SC_9091	SC_9086	MO_1339	MO_1337	MO_1336	SC_9031	SC_9081	SC_9080	MO_1316	TP_2054	SC_9073	SC_9072	SC_9071	SC_9068	MO_1277	MO_1202	SC_9063	SC_9062	SC_9061	MO_1262	MO_1249	MO_1244	MO_1241	SC_9060	SC_9059	SC_9058	SC_9057	MO_1232	MO_1221	MO_1219	MO_1215	SC_9055	SC_9038	SC_9050	MO_1192	MO_1176	SC_9054	SC_9049	SC_9048	SC_9047	SC_9046	MO_1184	MO_1179	SC_9043	SC_9018	SC_9037	SC_9036	SC_9034	SC_9032	TP_2034	MO_1161	SC_9030	TP_2032	SC_9029	SC_9028	SC_9026	TP_2020	SC_9023	SC_9022	SC_9019	SC_9017	SC_9016	MO_1124	MO_1128	MO_1118	MO_1114	SC_9012	SC_9007	TP_2009	TP_2010	SC_9010	SC_9009	SC_9008	TP_2001	MO_1095	SC_9001	MO_1094	MO_1084	MO_1071	MO_1054	MO_1040	MO_1020	MO_1014	MO_1013	TP_2060	SC_9083	TP_2064	SC_9097	SC_9093	SC_9092	SC_9099	SC_9094	6115251	6115247	6115242	6115219	6115122	6115114	1115202	6115117	6115115	1115161	1115183	6115237	6115233	6115118	6115123	1115153	6115121	1115156	1115154	6115227	6115234	6115224	1115244	1115157	6115250
7SK	1.15938	0.604803	2.28E-29	0	0.322216	2.655	0	0	1.70533	0.564102	0.244403	0	0	4.15255	0	0.186042	0.236611	0	0.192069	0	0	0.338309	0.487952	0.479191	0.176719	1.06129	0.252866	0.759117	1.07369	0.276305	0	0	0.260028	0.762975	3.26119	0	0.762532	0	0.373757	0	0	0.209972	0	1.42178	0.270871	0	0.452907	0.240914	4.5378	0.342188	0.9905	1.41339	0.17972	0.708991	0	3.1057	2.40013	1.91304	2.03075	0.178643	0	0	0	0	0.45899	0	1.02997	0	2.45201	0	0.548759	1.01342	0.270596	0.131599	0.157259	3.38979	0.807018	1.29894	4.61237	2.69586	0.265503	1.46005	0.418721	1.37811	5.36025	0.464232	0	0	0	0	0.403286	0.123131	1.47615	0.245938	0.29591	0.371482	0.673606	0	0.418166	0	0	0	0	0.153168	0.22251	0.295496	0.371668	4.36422	0	2.84086	0	0	0.057812	0	0.151452	0.17674	0	0
7SK	0	0	0	0	0	0	2.44612	0	2.19075	0	0	0	0	0	2.38806	0	1.02015	1.41562	3.12077	0	0	1.22142	1.34788	0.57143	0.949956	0	0	0	3.2073	0	0.721622	0	0.882642	0	0	0	1.9739	1.17037	0	0	2.77257	1.2237	0	0	0	0	0	0	0	0	2.1372	4.26044	2.34667	0	0	0	0	0	0	0	0	8.99403	0	0	0	0	0	0	0	0	0.853057	0	2.68378	0	1.23117	0	1.72965	1.50996	0	0	2.85699	1.31186	0	0	0	0	2.80355	0	0	0	0	1.05753	0	1.97623	0.338612	0.865563	0.998271	0	0	0.250121	1.42995	0	0.993176	0.154041	0.476188	1.69103	0	0	3.01998	1.62726	0	0.54697	1.34923	0.794254	0.522025	0.465218	0	1.51327
7SK	12.5445	3.64497	0.401629	0	3.38078	0	0.330186	0.568645	0	0.352079	1.04193	0.509681	0.92658	1.7264	0.829599	0	0.485326	0.185353	0.364837	0.275663	0.221803	0.653017	0.587972	0.450774	1.88876	0.351521	0.354765	0.614746	1.54283	0.798002	0	0.578852	0	0	2.27079	0	0.506846	0.535825	0	0	0	1.04436	1.51551	0	0.929878	0.384177	0.997295	0	0	0.476283	0	0.602083	0.662964	0.21565	0.58995	0.718706	0	0	1.16351	1.44127	0.429772	1.77561	0.347336	0.782643	1.37794	1.24104	2.02117	1.51692	0	0	0.882723	0.649172	0.31193	1.46926	0	0.189478	0	0.668187	0	0.216266	0.569762	1.8151	0	0	0	2.29438	0	0	0	2.819	0.630831	0.184755	0.793922	0.307781	0.196729	1.08474	0.165604	0	0	0.57895	0.282732	0	0.19708	0.167742	0.82681	0	0.973808	0	0	0.728604	0	0.671479	0.15704	0.14501	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.6651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000761956
7SK	0	0	0.706792	0	0	0	0	0.473276	0.644148	0	0	0.371086	0.332869	0	0	0.358462	0.366667	1.99324	1.45432	0.773599	1.54957	0.298506	0.459074	1.81573	0.390878	1.0288	1.67147	0	0.595517	0	0	0.408155	0.422125	0	0.462544	0.400124	0.377757	0.405109	0	0.464715	0	0	0.421546	0	0	0	0.500958	0	0	0.726034	1.16671	0	0.578109	0	0	0	0.447527	0	0	0.684831	1.37568	0.669663	0	1.12962	0.404952	0.497847	0	0	4.79339	0	0.593437	0	2.97295	0.354809	1.18436	0	1.6884	2.53979	0	1.41652	0.570358	1.41191	0.411772	0	0	0	0.407485	0	12.3618	3.6152	0	0.507698	1.53505	0.184353	0	0	0.995502	0.269224	0	0.513432	1.7233	0	0	0	0.655496	0.207078	0.296399	0	0.33492	0.221602	0.585388	0	0.933623	0.519289	0.393011	0	0.286502	0.262656
7SK	0.0165165	0.000471494	0	0	0.000284145	0.000303542	7.14E-05	0.00555179	2.13478	0	0	0.000377015	0.588056	10.6342	1.4081	0.255346	1.4811	0.0123234	0.000205379	0.0105688	0.000171459	0	0.226968	0.262427	0.0002468	0.000258663	8.24E-05	0.000170146	0.00115027	0.115823	0.00178993	0.000981569	0.156786	0.0260513	0.0133836	0.000783007	0.00014974	0.00147267	0.102163	0.0216056	0.0006768	0.0349776	0.0187919	0	0.128927	0.0110371	0.00445154	0.000732223	0.00390243	0	0.000863264	0.000231624	5.73E-08	0.00829134	0.000230242	0.00911364	0.00242954	0.00590809	0.166465	0.00188432	0.456783	0.0291775	0.01277	0.0564011	0.0100591	0.00280554	0.000748313	0.00139939	0.829899	1.46458	0.0323976	0.0640131	0.0843195	1.09244	0.0235733	0.661441	0.133242	0.0202962	0.000173426	0.00015679	0.011327	0.00267313	0.000565769	0.333368	0.00239056	0	0.00559223	0	0	0.109978	0.00398982	0.00450005	0	4.91697	2.38321	1.14642	3.25695	0.150322	0.0826885	4.21287	0.165456	0.198265	3.47506	4.78224	2.17434	1.92612	0.0821834	0.364114	0.109174	1.30827	0.0443235	0.0616012	3.1014	3.14686	2.00856	2.68248	0.0435567	2.45014
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67083	1.10538	0.520405	0	1.61739	0	1.75286	0	1.19646	0	0	0	0	0	0	0	0	0	0	0	0	1.55425	0	0	0	4.60821	1.0482	0	1.00677	0	0	1.74125	0	0	0	0	0	0.819309	0	0	0	0	1.73938	0	0	0	0	0	0	0	0	0	0	22.7889	1.32617	0	0	1.01205	0	0	0	0	0	0	0.417603	1.64571	0	0	0	0	13.7049	0	0	0	0	0	0	0	0	0	2.00194	0	0	0	0	0	0	0.287514	0	0	0.434804	0	0	0	0	0	0	0	0	0.335912	0	0
7SK	0.233242	0	0	0.291905	1.42825	0	0.493876	0.218416	0.262128	0.526011	2.15088	0.412665	0.377224	0.229488	0.515366	0.821903	0.386871	0	0	0.453492	0.731168	0	0	0.567484	0.437808	0.567981	0.556307	0.249423	0.914076	0	0	0.9502	0	0.278929	0.265003	1.1377	0.609282	0.427112	0.257549	0.569209	0	0.846469	0.500521	0	0.756916	0.305201	0	0.226579	0.509841	0	0.397543	0.232008	1.24634	0	0.224548	0.533111	0.221296	0	0.62006	0	0	1.06183	0.285809	1.90787	1.33346	1.20501	0	0.877532	0	0	0.185091	1.00973	1.45995	2.77927	0.202249	0.630732	0.278575	0.265761	1.2281	1.00318	0	0.476103	0	3.63077	0	0.450151	1.83001	0	1.03175	1.47308	0.399163	0.153427	0.429281	0.544958	0.173904	0.381483	0.73138	0	0.471128	0.129232	0	0.352123	0	0.148397	1.10291	0.151419	0	0.210287	0.251262	0.479063	0.657206	0.29575	0.4192	0.128673	0	0.342319	1.28598	0
7SK	0.287911	0	0	0.361723	0	0.414487	0.632011	0.273328	0.339139	0.336897	0	0.247096	0	0	0	0.244233	0	0	0.712054	0.267956	0.647	0.423864	1.13479	0	0	0.34072	0.342205	0.298138	0.372505	0.586059	0	0	0.295967	0	0.314986	0.812929	0.735958	1.55472	0	0	0	0	0.294804	0	0	0	0	0.561642	0	0	0	0.57919	0.317555	0	0	0	0	0	1.87645	0	0	0.429357	1.01294	1.51859	0.267094	0.298822	0.557886	0.210128	0	0	1.29099	0.312684	0.601279	0.237485	1.23533	0.184518	1.02991	0.646041	0.588631	2.91374	0.972683	1.16793	0.813272	0	1.06627	0	0.249868	0.777004	3.58284	1.28299	0	0.179859	0	0.302632	0.386798	0	0.325561	0	0	0	1.1102	0	0.580531	0	0.271145	0.168759	1.91205	0	0	1.07313	3.39E-05	0.329909	0.154521	0.28526	0.325103	0.381017	0	0.436182
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54963	0	0	0
7SK	0.136806	0	0.143084	0	1.88035	0	0.297111	0	1.05801	2.06426	0.292827	0.981475	0	0.287077	0.0515686	0.2201	0	2.86E-12	0.0908807	0	6.68E-07	1.24E-26	0.119603	0.222983	0	0.393795	1.04097	0.483156	0.576321	0.0151801	0.0154215	4.22E-18	1.20626	3.03108	0	1.25763	0	0	0.105585	0	0.570088	0	0.220164	0.247915	0	1.17E-36	0	0	0.112446	0	0.0159556	0.448713	0.580919	2.46463	0.578214	0.384431	0.0108063	2.13802	1.17826	0.934323	0.758641	0.672245	1.25343	5.95545	0.0422496	0	1.16206	1.26785	0	0	0	0.768321	0.0731102	0.357057	0.153591	0.476801	4.06627	1.02775	0	0.669728	0	0.298983	0	0	0.563464	0.81678	9.39E-44	0	0	0	0	1.61E-27	0.274235	0	0.0260046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178747	2.02E-39	0	5.54E-26
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.806664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30156	0	1.20096	1.05436	0	0	13.3499	0	0.624022	0.595125	0.817493	0.470468	0.291211	0	1.20181	0.512652	3.04384	0.211329	0.560272	0	0	0.45024	0	0.982047	0	0	0	0	0.571835	0	0.19552	0	0.27968	0	0	0	0	0.367615	0	0	0.213426	0.346746	0	0.315946	0	0	0	0	0	0	0	0	0	0.302903	0.277633
7SK	0	0	0	0	0	0	19.5848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.85328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.541923	0	0	0	0	0	0	0	0	0	0.718772	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0.124929	0	0.131818	0	0.473334	1.43188	0.145854	0	1.12254	0.367022	0.288833	0.181003	0	0.407051	0.199323	0.0403519	0	1.21E-10	0.0114552	0	1.47E-20	9.87E-33	0.121235	0.0840449	0	0.611371	0	1.04101	0.614045	9.41E-37	0.149731	0.209724	0.142364	1.26636	0	0.380733	0	0	0.320211	0	0.30273	0	0.33582	0.266022	0	0	0	2.52E-44	0.0438815	0	0	0.954202	0.0691296	0.546745	0.0156086	0.353737	0.372906	1.57753	2.37337	1.74615	1.54E-26	0.728681	0.107312	2.53535	0	0.000431101	0.126959	0.177754	0	0	0	4.27E-43	0.0767192	0.358883	0.149327	0.319044	2.6077	1.12458	0	0.556012	0	0.207124	0	0	0.123459	0.589222	0.405105	0	0	0	0.680063	0.350666	8.39E-30	0	0.0432463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04E-33	0	0
7SK	3.18728	0	0	0	0	0	6.88242	0	0	0	0	1.7992	1.5513	0	0	0	0	0	0	0	0.641558	0	0	0	0	0	0	0	0	0	0	9.60717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790575	0	0	3.28284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267761	1.29056	0	0	0	0	0	0	0	0	0	0	0	0.374215	0
7SK	0.108829	0	0.10594	0	0.342811	1.36462	0.122735	0	1.10687	0.347729	0.269028	0.117558	0	0.408092	0.132943	0.0370551	0	1.45E-24	7.93E-16	0	0	9.35E-22	0.12107	0.00208342	0	0.580476	0	0.951556	0.605744	0	0.149311	0.166342	0.17188	1.40118	0	0.313214	0	0	0.245611	0	0.287147	0	0.33904	0.224691	0	0	0	0	1.20E-07	0	0	0.755292	0.0689409	0.516792	0.00919819	0.371226	0.375408	1.52795	1.41005	2.1422	0	0.500311	0.117992	2.61642	0	2.30E-09	0.117992	0.179096	0	0	0	0.0801156	0.0748048	0.326657	0.14782	0.341829	2.86753	1.0888	0	0.518338	0	0.258606	0	0	0.246175	0.681768	0.371683	0	0	0	0.682668	0.266602	0	0	0.0432805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0.00833006	0	0	0	0	0	0	0	0	0.196602	0.206614	0	0	0	0.279563	0	0	0	0	0	0	0	0	0	0	0	0	0.19931	0	0	1.09656	0	0	0	0	0	0.160564	0	0	0	0	0	0	0	0.151617	0	0	0.174593	0	0	5.55E-05	0	0.936137	0	0	0	2.05854	0	0	0.787779	0.258141	0	0	0.169593	0	0	0	0	0	11.1294	0.913979	0	0.752453	0.158497	0.316223	0	0	0.208806	0	0	0	0.370695	0	0	0.359834	0.699526	0.158041	0	0.502373	0	0	0	0	0.0724664	0	0	0	0	0	0.582756	1.05279	0	0	0.511888	0	0	0.362661	0.903455	0	0.136309	0.190043	0	0.125026	0.222705	0	0	0	0.258042
7SK	0	0	0	0	0	0	0	23.9376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58198	0	0	0	0	0	0	0	0	0	0	0	0.466329	0	0
7SK	0	0	0.01463	0	0	0	0.285329	0	0.304746	0	0.305688	0	0	0	0.189107	0	0	0	0	0	0.201714	0	0.260865	0	0.000646447	0.316412	0	0	0	0	0	0	0	0	0	0	0.227157	0	0	0	0.33302	0	0	0.528496	0.21007	0	0	0	0.285747	0	0.224024	0	0	0	0	0.309233	1.35E-11	0	0.347193	0.434814	0	0	0	0	0	0	0	0	13.3673	0	0	0	0.275675	0	0	9.67E-10	0.315144	0	2.46119	0.380436	0.130944	0	1.25756	0	0.248443	0	0.229655	0	0	8.82E-07	1.49687	0	0	1.81E-06	0	0	1.02E-05	0.000317291	1.06E-05	0	0	5.08E-06	0.185046	0	9.62E-08	0.161705	0	3.06E-05	0	0.684194	7.28E-05	1.05E-05	0	1.05E-06	0	0	0	1.39E-06
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7645	0	0	0	0	0	0	0	5.88143	0	0	4.00849	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49402	0	0	0	0	0	0	0
