geneID	Symbol	MSK-PCa8_ORG	MSK-PCa9_ORG	MSK-PCa10_ORG	MSK-PCa11_ORG	MSK-PCa12_ORG	MSK-PCa13_ORG	MSK-PCa14_ORG	MSK-PCa15_ORG	MSK-PCa16_ORG	MSK-PCa17_ORG	MSK-PCa18_ORG	MSK-PCa19_ORG	MSK-PCa20_ORG	MSK-PCa22_ORG	MSK-PCa24_ORG
ENSG00000124693.2		0.99	0.02	1.63	14.05	0.13	0	0.24	0.43	3.72	0.36	0.45	0.1	0	0.75	1.26
ENSG00000126542.10		0.65	0	0	0	0	0	0.08	0	0	0	0.38	0.09	0	0	0
ENSG00000128802.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129270.11		0.75	7.97	0	0.5	9.04	33.43	0.35	0.51	0	0.16	1.27	0.01	0	36.45	0
ENSG00000129277.9		0.16	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0
ENSG00000129282.8		10.76	2.45	6.08	6.85	3.27	7.25	7.22	7.7	4.83	10.67	7.63	5.72	1.84	1.25	2.06
ENSG00000130201.3		0	0.04	0	0.02	0.03	0.36	0	0.47	0	0	0.02	0	0	0	0
ENSG00000131795.8		211.91	111.12	234.76	162.41	106.81	59.7	64.18	253.64	142.63	112.99	104.52	76.42	52.46	66.55	187.98
ENSG00000132130.7		0.18	0.01	0	0.33	0.69	0	0.08	7.76	0.07	0.02	0	0	0	0	0
ENSG00000132139.8		0	0.1	0.03	0.23	0.11	0.1	0.03	0.86	0	0.33	0.01	0.03	0.05	0.02	0.02
ENSG00000132142.15		53.87	47.54	58.75	73.19	66.35	28.33	37.66	66.58	35.89	13.56	36.71	37.36	48.28	66.64	57.03
ENSG00000132498.7		0.12	0.07	0.34	0.73	0.53	0.42	2.63	0.24	15.26	0	0	1.24	0.14	0.16	0.36
ENSG00000133149.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133808.4		2.82	10.25	2.27	3.1	4.6	6.94	2.85	3.87	0.28	1.16	0.77	5.58	0.5	2.39	1.03
ENSG00000135213.8		42.44	49.34	39.83	38.39	21.38	24.77	36	40.84	74.48	26.56	71.08	12.72	15.56	164.69	83.68
ENSG00000135847.5		42.87	16.22	60.02	57.98	43.79	25.66	46.96	60.15	29.59	29.15	23.9	52.26	16.34	10.38	48.19
ENSG00000136653.15		6.03	35.17	7.8	21.46	6.44	7.28	2.67	12.88	1.65	2.3	9.5	6.91	2.14	5.52	5.09
ENSG00000137259.2		0	0.06	0.4	0.58	0.39	0	0	0	0.17	0.62	0	0	0	0	0
ENSG00000138041.11		42.33	24.55	42.83	40.86	42.19	43.8	43.15	39.45	25.74	22.21	53.66	16.22	12.76	30.08	45.74
ENSG00000138293.15		88.45	214.58	58.54	80.27	197.82	75.08	93.61	84.6	70.24	93.17	79.64	107.48	37.1	128.9	79.82
ENSG00000138294.9		4.41	20.33	0.37	1.32	6.28	0	0.15	0.3	0.04	1.57	0	25.15	1.76	2106.48	0
ENSG00000138297.9		79.79	55.22	51.25	73.46	118.94	47.05	75.8	68.36	50.65	79.12	61.22	216.14	118.1	85.63	50.55
ENSG00000140181.10		9.81	44.03	41.38	47.46	19.65	13.76	111.37	33.15	39.36	85.56	8.86	16.4	20.57	1.97	9.58
ENSG00000141140.12		67.7	75.53	62.14	90.54	32.58	62.76	91.86	45.17	59.94	62.73	40.7	45.67	23.02	16.45	53.65
ENSG00000141141.10		21.92	26.99	37.74	20.49	8.58	15.63	25.02	56.03	29.94	8	19.28	8.62	4.55	12.06	27.09
ENSG00000141150.3		1.97	0.13	12.38	6.6	1.21	0.66	5.8	5.55	0.14	0.02	0.19	0.05	0.25	0.01	16.64
ENSG00000141720.7		21.9	51.95	50.46	51.51	20.04	21.63	43.37	76.12	45.4	11.6	16.45	13.74	13.84	35.27	77.43
ENSG00000143140.6		0.08	5.74	0.59	0	0	2.23	0	0.14	0.07	0.02	0	0.29	0.02	0	0.03
ENSG00000143466.9		2.61	12.6	0.18	4.41	4.09	2.43	3.71	1.04	4.76	0.44	4.03	1.4	2.03	2.32	0.02
ENSG00000144140.5		0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145965.5		0.14	0.18	0.51	0.12	0.06	0.03	0.37	0	0.08	0.12	0.03	0.7	0.47	0	0.12
ENSG00000147380.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147382.14		25.24	13.19	18.43	20.65	23.03	17.61	20.03	23.73	20.47	31.36	18.7	17.7	5.97	29.52	11.22
ENSG00000147402.7		1.14	0	0	0.03	0	0	0	0.01	0.46	0.09	0	0.91	0	1.07	0
ENSG00000147926.9		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000150076.18		0.16	0.1	0.06	0.05	0.27	0.24	0.64	0.03	0.14	0.03	0.06	0.2	0.06	0	0.05
ENSG00000150165.13		0.6	0.62	0.01	0	16.97	0	0.02	6.12	0	0.01	0	0	0.02	0	0
ENSG00000150526.7		0	0.14	0.35	0.04	0	1.88	0.02	0	0	0.27	1.76	0	0	0	0.27
ENSG00000152022.7		3.42	5.62	13.12	20.79	13.44	2.71	2.44	13.61	0.15	2.01	0.32	3.14	4.83	5.44	21.44
ENSG00000152042.13		6.02	2.12	4.77	4.75	3.32	12.64	8.76	5.11	1.67	4.75	5.64	7.85	4.08	3.18	5.75
ENSG00000152268.8		0.1	1.33	0.13	0.01	0.03	0.44	0.5	1.48	0.08	3.24	0.16	0.23	0.03	0.05	0.02
ENSG00000152487.6		0.92	0.29	0.63	0.37	1.51	0.84	1.05	1.14	0.1	0.94	0.95	0.26	0.52	0.78	0
ENSG00000152726.14		17.28	3.05	0.57	9.49	3.82	6.22	8.82	1.61	12.15	1.11	2.55	10.59	1.52	8.99	0
ENSG00000153575.6		10.75	32.97	12.23	21.63	17.25	6.04	23.38	20.22	32.63	13.03	10.38	7.29	4.5	9.48	6.63
ENSG00000153666.5		0.06	0.16	0.31	0.59	0.3	0.54	0.71	0.33	0.06	0.57	0.11	0.53	0.86	0.39	0.1
ENSG00000154035.6		0.37	4.86	6.3	2.6	1.68	3.86	7.27	1.46	1.86	3.9	2.31	0.97	0.54	3.49	9.35
ENSG00000154768.4		0	0.05	0.05	0	0.05	0.05	0.06	0	0.06	0	0.04	0	0.12	0.27	0.06
ENSG00000155130.5		75.98	69.92	117.72	50	45.07	29.24	22.92	49.05	90.57	12.61	46.46	53.19	16.42	33.2	117.45
ENSG00000155282.7		0.11	0.07	0.21	0.22	0.21	0	0.99	0	5.4	0	0	0.08	0.03	0	0
ENSG00000155640.5		3.36	10.88	2.56	8.67	2.73	1.56	2.3	5.45	2.47	2.01	3.31	0.91	1.06	7.11	4.02
ENSG00000155984.10		5.09	8.87	17.65	10.78	18.38	9.64	17.13	19.25	8.86	14.72	9.68	7.46	2.78	7.37	18.54
ENSG00000156750.7		0	0	0.02	0.06	0	0	0.01	0	0.13	0.01	0.05	0.01	0.05	0	0
ENSG00000157358.7		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157828.5		0.1	0	0	0.08	0	0.07	0	0	0.08	0.13	0.17	7.01	0.04	0	0
ENSG00000157950.10		0.84	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0
ENSG00000159123.10		0.08	0.01	0.07	0.32	0.03	0.11	0.08	0.1	0	0	0.05	0.1	0.36	0.07	0
ENSG00000160828.13		20.97	2.84	30.33	9.89	12.18	28.22	26.16	19.96	4.92	15	21.89	12.59	8.89	8.83	15.93
ENSG00000160844.6		0	0	0	0	0	0	0.37	0.29	0	0	0	0	0	0	0
ENSG00000161326.8		27.03	16.39	20.33	27.64	15	15.99	31.15	34.49	17.95	15.99	14.82	15.85	12.92	31.44	19.05
ENSG00000161570.4		0	1.19	0	10.73	5.32	0.3	0.94	0	0.05	1.38	0	0.26	1.03	0	0
ENSG00000161572.6		0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0
ENSG00000161573.6		0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0
ENSG00000161574.11		0	0	0	0	0	0.2	0	0	0	6.31	0.63	0	0	0	0
ENSG00000161583.12		1.3	2.6	1.48	0.91	1.01	4.99	3.4	1.19	0.03	1.12	0.91	1.55	1.68	0.26	2.17
ENSG00000162290.12		9.07	13.04	26.31	21.52	12.52	4.97	10.32	18.81	19.3	6.38	15.79	2.12	3.22	10.26	41.5
ENSG00000163067.10		2.88	4.23	6.97	7.3	4.58	3.44	3.97	5.77	4.43	2.31	3.81	3.04	1.2	3.63	10.76
ENSG00000163113.10		15.39	9.66	7.19	29.2	7.59	8.01	7.93	10.85	4.91	6.25	12.28	4.53	3.3	16.37	10.03
ENSG00000163386.16		9.44	7.44	5.34	11.75	8.52	12.44	9.12	8.21	0.43	7.51	4.62	10.06	10.74	9.54	8.58
ENSG00000163486.8		50.04	35.23	44.44	102	46.97	12.69	36.68	67.79	87.41	12.34	34.2	23.23	16.9	18.23	67.48
ENSG00000165388.8		0.6	6.98	0.66	1.2	16.65	0.83	6.18	4.42	0.29	1.29	4.78	0.52	0.31	0	0.48
ENSG00000165390.11		0.15	5.08	0.04	2.52	155.01	0.05	0.04	19.09	0.06	0.01	0	0.1	0.02	0.03	0
ENSG00000165659.12		0.02	0.01	11.57	2.41	0.04	1.68	0.51	0.16	2.78	2.37	12.63	1.91	2.46	0.82	19.38
ENSG00000165862.10		0	0	0	0	0	0.07	0	0.3	0	0	0.14	0.02	0.18	0	0
ENSG00000166008.5		0	0.03	0	0	0	0	0	0	0	0	0.05	0	0	0	0
ENSG00000166157.12		0.92	0	0	0	0	0	0	0	0.4	0	0	0	0	0.08	0
ENSG00000166667.8		0.68	0.73	1.89	1.23	0.26	0.46	0.95	0.33	2	0.33	1.03	0.35	0.75	0.42	0.64
ENSG00000166748.8		0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
ENSG00000167230.6		0	0	0.05	0.05	0	0.03	0.02	0	0.07	0	0	0	0	0	0
ENSG00000167236.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167383.4		5.31	1.22	5.4	6.17	5.71	4.26	11.03	7.18	5.61	0.02	6.6	5.66	2.13	4.94	4.8
ENSG00000167765.3		2.38	1.19	2.43	1.05	0.56	0.96	1.32	0.69	1.95	0.62	0.39	0.78	0.36	1.77	1.74
ENSG00000167970.6		6.51	83.41	1.25	2.31	2.7	1.35	2.88	1.55	141.36	2.45	1.97	0.27	0.55	0.8	0
ENSG00000168242.3		0	0.02	0	0.08	0	0	0	0.21	0	0	0	0.19	0	0	0
ENSG00000168260.1		0.08	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0
ENSG00000168274.3		6.09	2.98	14.64	42.55	4.92	1.04	2.14	1.37	12.76	23.11	1.82	2.05	3.75	3.48	5.42
ENSG00000168614.13		11.3	6.54	10.53	14.4	6.03	15.75	16.25	8.07	2.5	8.75	7.89	11.27	7.25	6.76	13.55
ENSG00000168787.4		0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169202.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169861.8		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170215.4		0	0	3.55	0	0.16	1.58	7.13	1.06	6.48	0	0	1.32	0	0	0.04
ENSG00000170217.6		0.49	0.13	1.01	0.28	1.12	1.03	1.14	0	2.93	0	0.19	0	0	0.12	0.74
ENSG00000170590.4		0.36	0	0.16	0	0	0.03	0.22	0	0	0	0	0	0	0	0
ENSG00000170616.9		0.05	0.02	1.19	0.08	0.01	0.01	0.7	0.05	0.13	0.06	0	0.07	0.01	0.01	1.06
ENSG00000170647.2		0.91	0.26	0.27	1.08	0.37	2.4	8.95	0.94	0.86	1.03	2.37	0.71	0.61	4.57	0.15
ENSG00000170727.7		50.77	41.58	84.05	116.86	49.73	63.55	80.18	53.42	101.65	48.5	24.15	33.17	13.81	12.24	22.56
ENSG00000170803.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170866.7		0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0
ENSG00000171129.7		0	0.09	0.2	0	0.06	0.1	0.11	0	0.03	0.14	0	0.09	0	0.09	0
ENSG00000171282.9		2.79	1.51	7.27	9.7	6.39	9.13	14.16	0.21	8.34	3.78	0.55	2.68	0.5	0.49	2.45
ENSG00000171471.5		6.77	0.55	7.54	3.66	12.12	2.31	9.38	4.38	2.53	6.45	8.31	1.06	1.98	7	1.7
ENSG00000171484.3		0	0.01	0	0	0	0	0	0.08	0	0	0	0	0	0	0
ENSG00000172332.8		0	0	0	0	0	0.06	0	0	0	0	0	0	0.02	0	0
ENSG00000172381.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172653.7		0	0	0.02	0.02	0	0	0	0.04	0	0	0	0.04	0	0	0
ENSG00000172660.7		135.65	235.09	257.65	211.96	105.4	147.44	200.66	314.45	277.64	113.03	160.21	116.33	58.71	76.82	243.62
ENSG00000172774.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173088.8		0.4	0.33	0.23	0.47	0.22	0	0.2	0.18	0.18	0.15	0.04	0.27	0.25	0.55	0.1
ENSG00000173566.9		5.91	1.51	5.25	3.48	10.77	2	4.5	2.53	2.06	6.54	4.44	1.65	1.29	2.76	3.66
ENSG00000173876.9		0.62	0.03	0.16	0.79	1.38	0.1	0.23	0.3	0	0.35	0.06	0.99	0.86	0	0.04
ENSG00000174083.13		0.03	0	0.11	0.01	0	0.02	0.01	0.03	0	0.14	0.01	0	0	0	0.11
ENSG00000174093.6		8.25	16.86	14.81	10.76	9.88	35.81	31.21	19.81	13.03	6.36	7.42	8.95	7.37	3.77	14.34
ENSG00000174100.5		43.73	32.3	52.28	42.07	27.33	42.51	37.95	134.89	45.45	34.35	42.1	21.76	12.39	31.26	76.08
ENSG00000174111.8		17.76	19.91	26.42	24.96	15.4	11.95	16.37	24.7	19.85	7.7	6.03	2.85	2.46	15.69	32.12
ENSG00000174194.11		0.79	3.42	4.76	7.96	4.6	1.62	2.07	1.61	3.65	2.3	1.73	10.98	12.07	0.91	4.51
ENSG00000174196.5		2.35	1.5	1.53	1.21	0.95	4.15	2.8	1.03	1.77	2.19	2.1	26.27	7.47	1.7	0
ENSG00000174368.13		1.13	0.13	0.88	2.45	2.62	0.89	0.99	2.62	0.08	1.39	2.15	0.38	0.67	4.8	0.42
ENSG00000174374.9		41.74	6.77	35.4	29.81	25.74	28.45	29.86	49.5	14.22	59.36	67.18	12.35	13.79	64.87	32.17
ENSG00000174595.4		0	0.17	0.62	0.04	0.27	0	0.02	0	0.09	0	0.03	0.02	0	0	0.4
ENSG00000174942.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175393.2		0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0
ENSG00000175827.2		3.08	0	0.91	2.32	0.21	3.73	1.93	0.63	2.86	1.4	0	0.16	0	0	0
ENSG00000175873.3		2.4	0.51	2.95	2.08	1.22	0.44	1.02	1.35	0.3	0.25	0.13	0.9	0.22	0.55	2.27
ENSG00000175898.4		2.28	1.08	3.06	5.79	2.34	2.17	4.05	1.73	0.14	0.58	0.75	1.38	1.21	0.54	8.54
ENSG00000175911.4		0.3	0.28	1.08	0.39	0.46	0.96	1.1	1.01	0.65	0.19	0.41	0.19	0.13	0.83	1.05
ENSG00000176034.8		0.09	0.02	0.12	0	0	0	0.05	0	0	0.07	0.16	0.05	0.03	0.04	0.15
ENSG00000176082.5		0.05	0.14	0.14	0.03	0	0.01	0.02	0	0.16	0.02	0	0.28	0.05	0.01	0.04
ENSG00000176227.9		0.66	0.17	1.05	2.09	0.36	2.7	1.16	1.99	0.98	0.58	0.19	0.34	0.73	0.18	0
ENSG00000176274.6		3.42	6.88	5.19	4.17	3.94	3.06	3.9	5.09	6.59	3.96	4.78	2.74	0.84	5.73	8.19
ENSG00000176305.5		1.04	3.42	0	0.57	0.05	1.95	4.87	0	2.84	0.35	4.63	5.26	5.2	3.5	0
ENSG00000176354.2		0	0.09	0	0.31	0.31	1.3	0	1.23	0	0.14	0.24	0.5	0.36	0.98	0
ENSG00000176395.8		0	0	0	0	0	0	0.02	0.2	0	0.02	0	0.02	0	0	0
ENSG00000176734.3		4.58	1.33	0.24	1.29	3.06	0.46	0.02	0.8	0.55	0.01	0	7.92	0.34	0.28	0.16
ENSG00000176824.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176879.2		0	0	0	0	0	0.05	0	0	0	0	0	0.1	0	0	0
ENSG00000176937.8		0	0	0.05	0	0	0	0	0	0	0	0	1.32	0.07	0	0
ENSG00000177236.3		2.34	1.46	2.19	2.73	0.76	8.06	10.37	2.09	0.31	4.31	0.59	0.77	0.22	0.39	1.03
ENSG00000177764.6		8.44	0.58	14.48	3.76	8.88	5.26	6.99	6.56	2.88	3.32	0.76	0.98	0.25	0.78	4.34
ENSG00000177820.5		5.01	0	2.32	4.1	0.21	0	0	2.36	1.94	3.55	0	0	0	0	0
ENSG00000178206.3		0.04	0.01	0	0	0.06	0	0.06	0	0.03	0.02	0	0.08	0	0	0
ENSG00000178430.4		0.24	0.15	0.15	0.57	0.23	0.56	0.66	0.41	0.28	0.66	0.24	0.36	0.39	0.08	0.05
ENSG00000178550.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178642.5		0.38	0	0.42	0.11	0.13	0.15	0.36	0.4	0	0.23	0	0.34	0.06	0.14	0.15
ENSG00000178863.6		0	0	0	0	0.84	0	0	0	0.01	0	0	0	0	0	0
ENSG00000178894.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178972.3		0.15	0.11	0.37	0.25	0.2	0.21	0.19	0.12	0.06	0.05	0.13	0.01	0.01	0.04	0.02
ENSG00000179061.1		0.3	0.03	0.21	0	0	0	0.12	0.32	0.11	0	0	0.15	0.25	0.46	0
ENSG00000179294.5		10.54	2.13	9.76	14.47	3.91	0.93	4.57	22.29	19.94	5.54	7.32	5.39	2.45	0.68	9.78
ENSG00000179296.9		2.44	0.95	0.97	1.39	0.46	0.82	2.07	1.68	0.07	1.18	0.98	4.45	0.78	0	0.48
ENSG00000179449.2		0	0	0	0.1	0	0	0	0	0.04	0	0.05	0.2	0.03	0	0
ENSG00000179467.1		0	0.07	0	0	0	0.33	0	0	0.05	0	0.13	0	0	0	0.2
ENSG00000179837.6		24.88	13.51	51.62	36.07	19.36	14.2	30.07	42.5	26.72	20.33	23.47	8.08	7.89	11.2	50.85
ENSG00000179979.7		3.14	1.04	2.55	1.9	2.3	2.43	9.03	2.74	1.01	5.97	2.9	1.53	0.62	3.1	0.75
ENSG00000180081.9		0	0	0.02	0	0	0	0	0	0.42	0	0	0	0	0	0
ENSG00000180344.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180636.7		0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180672.4		0.14	0.8	0.55	0.27	1.53	0	12.16	1.72	3.8	0.09	0	0.05	0.03	0	0.45
ENSG00000180725.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180771.10		4.59	5.22	4.22	5.48	3.32	8.97	14.26	5.75	5.65	6.57	13	6.07	3.62	15.22	1.5
ENSG00000180987.3		0	0.45	0	0.08	0	0.26	0	0	0.16	0.14	0.1	0	0	0	0
ENSG00000181039.7		1.11	1.19	1.91	2.86	1.31	0.26	1.32	0.73	0.07	0.59	0.57	0.48	0.76	0.84	2.21
ENSG00000181395.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181464.2		0.16	0.32	0.07	0	0	0.38	0.05	0	0	0.14	0	0	0.1	0	0
ENSG00000181495.1		3	0.09	0.48	1.23	0.59	0.14	0.38	1.2	0	0.4	0	1.98	4.5	4.35	1.54
ENSG00000181689.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181791.1		0.15	0.12	0	0.04	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181935.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182109.3		4.15	1.75	5.74	1.16	2.96	12.28	10.26	10.11	0.28	2.7	2.54	11.44	5.45	0	1.57
ENSG00000182217.7		14.34	18.24	38.85	159.27	9.9	2.22	25.83	5.16	5.58	13.81	4.44	4.73	2.3	6.5	8.84
ENSG00000182242.7		0	0	0	0	0	0	0	0.05	0	0	0	0.01	0	0	0
ENSG00000182319.5		31.94	8.5	1.91	7.92	13.36	14.97	5.33	9	10.86	9.75	11.15	1.74	7.56	3.78	0.02
ENSG00000182368.4		1.29	0.47	3.15	2.25	1.28	0.94	9.9	0	47.54	4.06	0.73	11.07	0.34	0.17	2.46
ENSG00000182404.6		0	0	0	0	0	0	0	0	0.01	0	0	0.04	0.02	0	0
ENSG00000182500.7		17.75	36.36	13.46	24.78	15.28	13.66	10.73	20.1	30.16	14.1	8.06	7	4.41	5.51	9.57
ENSG00000182502.2		0.11	0.01	0.24	0.04	0.06	0	0.05	0	1.15	0.04	0	0.04	0	0	0
ENSG00000182572.2		0	0.04	0.27	0.08	0	0	0.08	0.21	0.34	0	0	0	0.17	0	1.41
ENSG00000182611.3		0.41	0.57	0.4	1.41	0.61	0	0.3	1.38	0.9	0	0.53	0.42	0.31	0	0
ENSG00000182646.12		8.92	3.36	6.05	6.11	1.49	23.03	9.58	5.25	7.08	8.23	5.16	4.83	4.66	4.19	5.32
ENSG00000182851.2		0.03	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0
ENSG00000182909.5		4.86	3.07	0.78	7.33	5.07	17.3	2.06	1.79	1.02	11.6	1.35	0.4	0.67	1.13	0.41
ENSG00000183016.9		0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0
ENSG00000183038.9		0	0.03	0.27	0	0	0	0.78	0.17	0	0	0	0.13	0.1	0	0.03
ENSG00000183086.10		2.1	0.19	1.17	0.71	0	0.28	0.45	1.79	0	0.7	0	0	0.18	0.62	0
ENSG00000183103.6		0.11	0.06	0	0	0	0.08	0	0	0	0	0.02	0.06	0	0	0
