Hugo_Symbol	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO005	05CO006	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004
hsa-let-7f-1-3p	2.8244	2.6119	4.3648	3.8464	4.2292	3.122	4.3571	4.3882	1.6577	2.7828	2.8713	4.5923	4.0015	3.6133	3.7349	1.7592	5.1726	3.165	4.678	3.1956	3.191	3.4429	3.4992	3.7986	3.0139	4.2224	5.0237	3.1743	3.6114	3.1327	4.1057	4.2051	3.8435	2.7612	2.9988	3.0011	4.033	4.1066	3.8846	4.4318	4.2365	4.2345	3.7136	3.3805	4.0153	4.0989	3.9778	3.9784	3.943	4.1359	4.3415	3.5271	3.7944	4.414	4.1099	3.693	4.3268	2.6389	4.2918	3.958	3.911	3.7688	4.5479	4.1417	2.5465	4.2312	4.6943	3.068	3.9851	4.5134	4.0012	4.263	3.6337	4.1055	3.9877	3.6151	3.5864	3.9552	2.153	3.4064	3.9366	2.6379	2.6786	2.2953	2.6383	3.3024	4.1396	3.7578	4.1568	4.3209	3.2966	3.7256	4.2948	3.8411	3.7551	3.1609	3.2345	4.5965	4.2595	4.1799	4.052	3.8457	3.9975	2.0932	4.2492
hsa-let-7f-2-3p	1.0745	1.6347	2.8139	3.8301	2.2597	0.6929	4.0856	3.1496	0.3872	1.3362	0.8017	4.6681	1.6735	1.7091	1.0422	0	3.2936	2.2314	2.7335	1.2389	0.8396	0.6607	2.2031	2.9412	1.2723	3.5563	3.677	1.1022	2.4035	0.3533	2.8645	0.6338	1.0012	0	0.8535	2.4485	4.1975	2.9127	2.9965	2.7825	3.1427	3.5478	3.0125	1.4467	2.4847	1.7539	2.697	2.4369	3.8209	3.9492	3.0367	4.7227	3.0273	3.3217	2.8031	2.7539	2.8957	0.3507	3.9165	3.0966	3.3381	3.5584	4.551	2.8995	1.0139	1.9389	3.4428	1.1577	3.675	2.8241	2.6849	1.9112	1.961	2.7542	3.2167	2.3433	2.7809	1.6575	0.3176	1.9287	4.3738	0.6322	1.1206	0.6657	0.7499	2.0746	1.6145	2.99	2.1999	2.8382	3.1542	1.8007	2.6447	2.1131	2.7346	0.3721	0.7933	4.0682	2.9165	3.0424	3.1443	2.7121	2.7593	2.1273	3.2461
hsa-let-7f-5p	13.2333	13.8615	14.2213	14.2911	14.6059	14.0845	14.4888	14.4468	11.0944	13.5959	13.4101	13.9531	14.3752	15.0659	14.2135	11.7454	14.284	13.9197	14.7577	13.6713	13.2276	13.578	14.3138	14.4841	13.5517	14.0878	14.0856	11.7574	13.9342	13.3994	13.9309	14.3794	13.3169	13.7486	14.5026	14.623	14.1461	14.1294	14.1258	14.3192	14.1771	14.4256	13.6282	14.7311	15.1223	14.6685	15.013	14.0398	13.8411	13.4171	14.4007	13.6337	13.8146	14.6288	14.3564	13.8909	15.1823	14.0794	14.4558	13.9658	13.5746	13.9172	14.0763	13.6711	14.4422	14.2367	13.9305	13.4471	13.7684	14.5484	13.8641	14.1253	14.2686	14.4067	14.7152	14.1967	13.9047	13.7101	13.9819	13.7992	13.5197	13.3169	14.4892	13.8792	13.7436	14.3918	14.2981	14.1612	14.4243	14.4309	13.9037	14.1033	14.3214	14.6715	14.4476	12.4092	13.0994	14.4063	14.6995	14.2415	14.8314	15	14.0844	14.1735	13.7919
hsa-let-7g-3p	2.7071	2.6811	3.2478	3.0103	2.3872	1.159	2.3478	1.0115	0	2.5875	2.2376	2.9272	2.3412	1.621	1.5129	1.5401	3.0415	1.6225	2.7518	3.9014	4.26	3.5033	2.3135	2.0418	1.7767	2.3156	2.4949	2.5776	2.0481	1.4142	2.1362	2.3217	0.7379	1.2148	1.3862	2.2695	1.8326	2.9501	2.7556	2.9925	2.7994	1.7188	1.5945	2.0213	1.5053	2.1888	1.7443	2.7643	2.6537	3.1191	2.0446	2.9218	2.2675	2.5691	2.2305	2.6562	1.939	2.2788	2.1982	2.312	1.8832	2.1521	3.6781	2.3151	1.4771	2.4998	2.904	1.9145	2.5491	2.4391	2.0124	2.4643	2.4596	1.7039	2.2638	2.8498	2.1299	2.7665	1.1578	2.7255	3.1117	1.0703	1.7437	1.6552	0.9327	3.0573	2.0332	2.0582	2.8566	1.8725	2.3961	2.0204	2.681	2.7894	2.4161	4.4998	4.6547	1.9303	2.2458	2.0005	2.2752	1.71	1.7261	2.6805	2.4125
hsa-let-7g-5p	13.4326	13.6678	13.4378	13.4056	13.3808	13.0672	13.0323	13.2379	9.4728	13.1344	12.8665	12.4026	13.5038	13.7455	13.152	12.3047	12.7755	12.6102	13.4162	13.4169	12.834	12.5901	13.0266	13.2046	12.1525	12.682	12.1402	11.1237	12.7607	13.1662	12.6414	13.4248	12.1083	12.7284	14.0595	13.3182	12.8574	12.8003	12.7332	13.1634	12.9596	12.6578	12.314	13.7074	13.7648	14.0609	14.0565	13.0147	12.1794	11.643	12.6635	12.4428	12.0701	13.1179	13.2209	12.5327	13.7212	13.4108	12.8551	12.4753	12.269	12.0137	12.3253	12.0452	12.9356	12.687	12.7054	12.2153	12.0447	12.8803	12.3008	13.083	13.1068	13.1505	13.3168	12.8343	12.708	12.3858	13.4665	12.7893	11.9701	12.5049	14.0509	13.8392	13.6387	13.7642	13.2015	12.365	13.4069	12.9479	12.6663	12.8808	13.1164	13.8169	12.7674	12.1661	12.9345	13.287	13.6051	12.427	13.3509	13.7642	12.4819	12.8172	12.2579
hsa-let-7i-3p	6.4104	4.4026	6.9759	4.338	5.0418	3.6328	4.9381	4.1091	2.6401	5.8242	5.4989	5.6161	5.4131	4.3759	5.5652	5.4958	5.2341	4.3831	4.649	5.3857	5.8423	6.0733	4.9018	4.8609	4.9318	3.7189	5.7116	4.8909	5.8468	5.163	4.5701	6.2165	4.3715	4.1838	4.6325	5.4856	4.9759	5.5086	4.595	5.246	5.4523	4.6401	4.129	5.0344	5.8057	6.449	5.1697	4.7808	4.7206	5.0557	5.0859	5.0972	5.6982	5.7188	4.1462	5.1885	5.4562	5.405	5.4949	5.1378	4.8622	4.8455	5.8557	5.664	4.8596	5.3746	6.326	5.0581	5.3719	5.6419	4.9665	6.0665	6.2703	5.1237	5.455	5.3289	4.9925	6.39	5.0645	5.9408	5.1086	5.3913	5.782	6.0923	4.4973	3.9679	5.0483	4.2554	5.1546	5.1466	3.9736	5.3485	5.4899	4.7479	5.2134	5.8154	5.6319	3.8512	5.0608	5.2101	5.121	5.308	6.3091	5.929	4.9813
hsa-let-7i-5p	12.7569	11.3397	13.2093	10.9417	12.1217	11.5974	11.9379	11.3074	9.592	13.0902	12.6063	12.7011	13.2417	12.3224	12.5727	12.5461	12.3764	11.9313	11.9469	12.0448	13.3149	13.332	12.0068	11.883	12.42	11.2838	11.9075	11.3078	12.3819	12.3508	11.5626	12.3596	11.7302	12.5349	12.3879	12.5341	11.7013	12.2084	11.5228	12.1064	12.0765	12.0751	11.1367	12.7927	12.8695	13.441	12.662	11.4467	11.2547	11.1622	12.224	11.3006	11.8578	12.6176	11.6908	12.2202	12.61	12.3865	12.3232	11.9469	11.1801	11.7797	12.6817	11.8346	12.1124	12.1752	12.6225	11.9137	11.4549	12.6556	11.5656	12.8484	12.8294	11.721	12.2259	12.1799	11.9239	12.9262	12.4443	12.9805	12.018	12.7886	13.8472	13.4893	12.4582	11.8425	11.8308	11.2558	12.3368	12.0576	10.9401	12.4811	12.3016	12.3478	12.7882	12.4848	12.5402	11.5238	12.1146	12.0495	12.1945	12.0349	12.874	12.9948	11.7617
hsa-miR-1-3p	1.0745	0.6794	2.101	3.0949	0.7344	0.3876	1.3414	5.9355	0	2.9816	0	2.9272	0.2097	1.769	1.3724	0	1.6061	1.3879	1.663	1.0145	0.2115	0.4314	4.3367	4.7217	0	0.9531	1.2171	0.467	1.6783	1.5571	3.623	2.2114	0	0.7316	0.8535	3.1808	3.8015	3.2493	3.2346	2.3551	2.4128	2.1906	2.3334	2.9681	1.9101	0.9628	1.9534	1.0729	5.5414	3.2535	3.1302	5.411	1.9881	0.6604	4.1124	4.0513	3.7127	1.5491	4.093	3.4851	6.5759	4.1988	0.7706	5.1616	3.7805	4.5775	2.4743	0	5.6778	1.8024	6.0085	2.3971	2.2317	4.386	1.5078	1.2958	4.443	0.9437	0.798	2.7255	3.6678	0.3505	0.3044	0.9834	1.2408	0.8245	0	4.3679	2.7592	4.3877	5.9966	4.701	3.034	4.2137	1.0148	1.1222	1.9363	2.0439	2.2458	4.8586	2.651	1.917	2.0278	3.1363	3.8927
hsa-miR-100-3p	1.0745	0	0.3496	0.3142	0.115	0	0.5958	0.8172	0	0.5217	0	2.4341	0.5551	0.4138	0.6132	0.5627	0.8369	0	0.1731	0.2265	0.396	0.1586	1.0099	1.0796	0.2657	0	0.4828	0.2523	0.7313	0	0.7478	1.1642	0.4156	0.4117	0	0.711	1.3884	0.6724	0.6904	0.1349	1.1927	1.1847	0	0.5565	1.3835	0.3072	0.6063	0.634	1.9246	1.7918	0.6049	1.896	0.71	1.1117	1.0393	1.2178	0.5996	0	1.7257	1.8655	0.9232	3.0145	3.0727	1.9006	1.0139	0.8558	0.9079	0	1.0753	1.4107	0.9696	0.3231	0.4021	0.2693	0.5469	0.2558	1.3035	0.9437	0.798	1.0244	2.8109	0.3505	0.5556	0.8333	0	0	0.3308	1.3687	0.8129	1.2747	1.2926	0.6537	0.2131	1.3094	0.4675	0.3721	0	1.5231	0.2475	1.5568	0.4689	0.3247	1.3442	1.015	1.7665
hsa-miR-100-5p	8.8134	7.0906	10.211	7.7162	6.7848	7.1609	8.6037	8.1618	4.7882	9.5011	8.8607	9.0087	9.2743	9.0919	8.1243	8.3617	8.9356	7.2454	7.813	8.9203	8.7662	10.4866	9.7498	9.5419	8.8522	6.004	8.1319	9.0308	10.822	9.3455	9.8186	9.2035	6.8032	7.7876	7.8296	12.3333	9.5099	9.7118	9.3799	9.1615	10.2499	8.0851	8.8582	9.7581	9.9958	9.4402	9.4528	8.3731	10.1582	8.4935	10.0222	9.3981	9.5705	9.8971	8.6216	10.1093	10.4547	10.4336	9.5691	9.899	9.4044	11.3223	10.4181	9.7419	11.0265	11.5979	10.3953	10.5134	10.3345	11.8519	10.4508	9.4073	9.9193	9.1699	8.2955	9.6664	10.2478	10.3098	8.5865	10.73	9.7103	9.931	10.223	10.9446	8.6343	6.71	5.6505	9.9501	9.0833	9.9447	10.3458	9.5617	9.8623	9.7503	9.7427	8.8009	9.4096	8.0761	9.084	9.4841	9.2777	7.8763	9.3434	10.4872	9.3967
hsa-miR-101-3p	7.4725	8.0453	7.6534	8.4965	7.0108	5.1423	8.0949	8.6586	3.9704	7.0885	6.224	9.541	7.4091	6.7882	5.6128	5.1945	6.9377	6.3684	6.6081	6.507	5.762	6.0858	7.5035	8.0395	5.8925	9.2653	8.3396	5.767	7.5011	5.9754	7.8135	6.5205	5.6558	4.6814	5.6906	7.2939	9.2231	7.5565	7.7883	6.644	7.8131	7.8482	8.0911	6.6978	7.7405	7.3064	7.4635	7.6075	10.1197	9.9665	7.0186	10.9996	8.0636	7.8111	7.584	6.3748	7.723	6.2044	10.0031	9.01	9.5027	10.2221	10.5248	9.4753	8.2125	7.563	8.1009	6.2849	8.6892	7.1761	9.1554	6.826	7.6101	7.8063	7.9143	7.5383	8.4474	7.3245	6.6496	7.4225	10.5396	5.9899	7.0485	6.8866	6.2446	6.6467	5.9956	8.0345	7.0086	7.5742	8.6699	7.2973	7.5614	6.9571	7.2817	7.0596	6.9079	9.5087	7.1343	9.0712	7.9223	6.9911	8.0856	8.0573	9.0473
hsa-miR-101-5p	1.0745	1.3241	2.2948	2.4277	2.0826	0	1.9306	2.3403	0	1.8537	1.0805	2.6793	2.5091	1.4118	1.0422	0	2.2027	0.5479	1.9275	1.8955	1.3669	1.7327	2.5188	1.9616	1.2723	2.4493	1.3354	0.9677	0.4115	0.8739	2.2436	1.1642	0	0	0.621	1.8269	2.9526	2.5234	2.0063	1.9047	2.2091	1.3379	1.424	0.5565	1.2505	1.1285	1.7443	1.0729	3.4445	2.7715	2.1612	3.7951	2.2675	2.5691	1.8631	1.6574	2.3569	0.3507	3.2419	2.3257	2.7392	2.753	3.0596	3.0369	2.2698	1.6901	2.4743	0.9436	2.2354	0.8713	2.3199	1.396	1.6274	1.9536	1.7739	2.0372	1.407	1.9397	1.3089	1.8716	3.2163	0.6322	0.6665	0.8333	0.9327	1.7281	1.4876	2.2303	2.4618	1.4722	2.4867	0.9674	2.009	2.2314	1.7208	0.9128	1.6776	3.0957	1.6129	2.2618	2.1714	1.5941	1.6835	2.0405	2.6732
hsa-miR-103a-2-5p	0	1.1395	1.4033	0.7908	0.6223	0.5483	1.3045	0.8172	0.3872	1.2061	1.3141	1.6791	1.4849	1.0562	0	0.5627	0.8369	0.6576	0.8706	0.6737	1.3669	0.8585	0.7449	1.2241	0.2657	0.9531	1.3728	0.8193	0.7313	0.3533	0.7956	1.0245	0.7379	0	0.621	0.2778	1.3884	0.8412	0.7574	0.9123	0.664	1.0727	0.7427	0.5565	1.179	0.5603	0	0.634	0.4849	0.4096	0.833	0.155	0.3983	1.2936	0	0.996	0.8262	1.2485	0.7145	1.4327	0.6759	0.6545	1.7743	1.454	1.3386	1.0088	0.6096	1.5092	0.6356	0.8713	0.8469	1.1732	0.6439	0.4962	0.2992	0.4731	0.1976	0.481	0.798	0.6699	0	0.6322	0.6665	1.1194	0	0.4704	0.3308	0.4111	0.3604	0.6157	0.7504	0.6537	0.1105	0.6363	0.1732	0.6676	0.6074	0.7002	0.8062	0.2346	0.7417	0.1715	0.3657	1.6289	1.1206
hsa-miR-103a-3p	11.6213	11.7439	12.0936	12.272	12.2339	10.6973	11.8249	11.5834	9.3968	11.0764	11.6518	11.0177	12.4988	12.3202	11.1308	10.5749	11.268	10.1801	12.2452	11.7968	11.6133	11.6544	11.5677	12.0921	10.5705	11.4513	11.6896	11.3354	11.1546	11.8838	11.696	11.8327	11.0721	11.6132	11.7826	11.7025	11.4175	11.9173	11.7353	11.9719	11.923	11.786	10.907	11.396	12.1087	11.8021	11.2315	11.3486	10.6802	11.1007	11.5576	10.5918	11.2304	11.5421	10.9525	10.929	10.5909	11.9867	11.7626	11.118	10.845	10.8122	11.6728	11.272	12.1515	11.0832	11.3549	11.1505	11.1508	11.245	10.9489	11.4848	11.7993	11.0806	11.417	11.9936	10.9852	11.3974	11.5215	11.4326	11.0021	11.3568	12.0475	11.8702	11.6638	11.832	11.3685	11.625	11.3683	10.9944	10.5894	11.2882	11.387	11.461	11.4874	11.5767	11.3763	11.996	11.8287	11.0097	11.9451	11.8428	11.3011	11.159	11.4372
