#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	"The type of sample (i.e., normal, primary, met, recurrence)."	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE
NCIH1184_LUNG	NCIH1184_LUNG	1	2.56	1	ACH-000523	NCI-H1184	lymph_node	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Mixed (lymphoblasts)	RPMI-1640 + 10% FBS	NA	5%DMSO		151.7	lung_small_cell	lung_small_cell	Lung:SCLC	134.1563317
HCC2157_BREAST	HCC2157_BREAST	0.99	2.76	1	ACH-000691	HCC2157		Primary	Breast	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	NIBRI						NA	breast	breast	NA	173.1865428
TC71_BONE	TC71_BONE	1	2.05	0	ACH-000424	TC-71		Primary	Bone	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	Ewings_Sarcoma	Ewings_sarcoma	Bone:Sarcoma_Ewing	116.191956
NCIH2227_LUNG	NCIH2227_LUNG	1	2.52	1	ACH-000610	NCI-H2227		Primary	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	mixed	DMEM:HAM's F12  1:1  +5% FBS	"0.005 mg/ml Insulin, 0.01 mg/ml transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 1 mM L-glutamine"	5%DMSO		187.6	lung_small_cell	lung_small_cell	Lung:SCLC	136.788956
COLO205_LARGE_INTESTINE	COLO205_LARGE_INTESTINE	1	3.34	1	ACH-001039	COLO 205	ascites	Metastasis	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	colorectal	colorectal	NA	NA
SNU449_LIVER	SNU449_LIVER	1	2.49	1	ACH-000420	SNU-449		Primary	Liver	NS	NS	NS	hepatocellular_carcinoma	NS	NS	CCLE	NIBRI						NA	liver	liver	Liver:HCC	153.5990748
NCIH28_PLEURA	NCIH28_PLEURA	1	3.94	1	ACH-000648	NCI-H28	pleura	Metastasis	Pleura	NS	NS	NS	NS	NS	NS	CCLE	ATCC	adherent	RPMI+10%FBS	NA	10% DMSO		81.2	mesothelioma	mesothelioma	Lung:Mesothelioma	144.0712209
OV56_OVARY	OV56_OVARY	1	1.94	0	ACH-000091	OV56		Primary	Ovary	NS	NS	NS	NS	NS	NS	CCLE	ECACC	adherent epithelial	DMEM:HAM's F12  1:1  +5% FBS	0.5 ug/ml hydrocortisone + 10ug/ml insulin	5%DMSO		148.6	ovary	ovary	Ovary:Carcinoma	85.71718592
JHOS4_OVARY	JHOS4_OVARY	1	1.67	0	ACH-000584	JHOS-4		Primary	Ovary	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	RIKEN		DMEM:F12 + 10% FBS	0.1 mM NEAA	5% DMSO		127.3	ovary	ovary	Ovary:Carcinoma	160.5655743
KYSE450_OESOPHAGUS	KYSE450_OESOPHAGUS	1	2.39	1	ACH-000865	KYSE-450		Primary	Oesophagus	middle_third	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	GNF					~ 30 hrs	NA	esophagus	esophagus	Oesophagus:Carcinoma	324.7573697
RMUGS_OVARY	RMUGS_OVARY	1	1.76	0	ACH-000701	RMUG-S		Primary	Ovary	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	ovary	ovary	Ovary:Carcinoma	178.9165928
KLE_ENDOMETRIUM	KLE_ENDOMETRIUM	1	2.7	1	ACH-000293	KLE		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	GNF						70.2	endometrium	endometrium	Endometrium:Carcinoma	96.20381721
HS895T_FIBROBLAST	HS895T_FIBROBLAST	1	2	0	ACH-000043	Hs 895.T	lung	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	melanoma	fibroblast_like	Skin:Melanoma	56.09099205
LN229_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	1	3.81	2	ACH-000595	LN-229		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	NIBRI						NA	glioma	glioma	CNS:Glioma_HighGrade	139.4221578
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.1	0	ACH-000770	P31/FUJ		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	M5	NS	CCLE	HSSRB	lymphocyte-like	RPMI 1640 medium with 10% fetal calf serum	NA		NA	NA	AML	AML	Leukemia:AML	220.9309703
RKN_SOFT_TISSUE	RKN_SOFT_TISSUE	1	4.63	2	ACH-000505	RKN		Primary	Soft_Tissue	smooth_muscle	ovary	NS	NS	NS	NS	CCLE	HSSRB	epithelial-like	Han's F12 medium 90% with 10% fetal bovine serum	NA		NA	NA	ovary	ovary	Soft_Tissue:Sarcoma_Leiomyo	165.9472722
PATU8988S_PANCREAS	PATU8988S_PANCREAS	1	3.24	1	ACH-000022	PA-TU-8988S	liver	Metastasis	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	DSMZ	Adherent epitheloid cells in monolayer	DMEM + 10%FBS	2mM L-Glutamine	10%DMSO		110	pancreas	pancreas	Pancreas:Carcinoma	82.48705026
NH6_AUTONOMIC_GANGLIA	NH6_AUTONOMIC_GANGLIA	1	2.02	0	ACH-000203	NH-6		Primary	Autonomic_Ganglia	NS	NS	NS	NS	NS	NS	CCLE	HSSRB	fibroblast-like	alpha-MEM with 10% fetal calf serum	NA		NA	NA	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	115.6076715
SF126_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	1	2	0	ACH-000609	SF126		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma	NS	NS	CCLE	HSSRB	fibroblast-like	Eagle's minimal essential medium with 10% fetal bovine serum	NA		NA	NA	glioma	glioma	CNS:Glioma	136.2988662
RERFLCAD2_LUNG	RERFLCAD2_LUNG	1	2.82	1	ACH-000774	RERF-LC-Ad2		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	adherent epithelial-like	RPMI-1640+10% FBS	NA	5% DMSO		70.1	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	215.9785902
OUMS23_LARGE_INTESTINE	OUMS23_LARGE_INTESTINE	1	2.85	1	ACH-000296	OUMS-23		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Dulbecco's modified Eagle's medium with 10% fetal bovine serum	NA		NA	NA	colorectal	colorectal	Colorectal:Carcinoma	137.2592429
SNGM_ENDOMETRIUM	SNGM_ENDOMETRIUM	0.96	2	0	ACH-000974	SNG-M	lymph_node	Metastasis	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Ham's F12 medium with 20% fetal bovine serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	788.4232098
OUMS27_BONE	OUMS27_BONE	1	7.37	2	ACH-001150	OUMS-27		Primary	Bone	NS	NS	NS	NS	NS	NS	CCLE	HSSRB	Elongated polygonal	DMEM+10%FBS	NA	10%DMSO		NA	chondrosarcoma	chondrosarcoma	Bone:Sarcoma_Chondro	NA
PL45_PANCREAS	PL45_PANCREAS	1	1.75	0	ACH-001171	PL45		Primary	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	pancreas	pancreas	NA	NA
NCIH2347_LUNG	NCIH2347_LUNG	1	2.06	0	ACH-000875	NCI-H2347		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	"Mixed, majority adherent"	RPMI 1640 +10% FBS	NA	5%DMSO		181.8	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	250.704126
SW1990_PANCREAS	SW1990_PANCREAS	0.99	2.68	1	ACH-000155	SW 1990		Primary	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	NIBRI						NA	pancreas	pancreas	Pancreas:Carcinoma	103.2181425
HS940T_FIBROBLAST	HS940T_FIBROBLAST	0.98	2	0	ACH-000135	Hs 940.T		Primary	Skin	NS	NS	NS	NS	NS	NS	CCLE	GNF						NA	melanoma	fibroblast_like	Skin:Melanoma	81.50141124
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000069	Hs 611.T		Primary	Haematopoietic_And_Lymphoid_Tissue	spleen	NS	NS	Hodgkin_lymphoma	NS	NS	CCLE	NIBRI						NA	lymphoma_Hodgkin	lymphoma_Hodgkin	Lymphoma:Hodgkin	73.30584648
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	2.33	0	ACH-000285	Toledo		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	diffuse_large_B_cell_lymphoma	NS	NS	CCLE	ATCC	"suspension, lymphoblast"	RPMI-1640 + 10% FBS	NA	5%DMSO		51.4	lymphoma_DLBCL	lymphoma_DLBCL	Lymphoma:NH_B_cell	88.11498549
RERFGC1B_STOMACH	RERFGC1B_STOMACH	1	2.74	1	ACH-000144	RERF-GC-1B	lymph_node	Metastasis	Stomach	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	113.3381055
HT1080_SOFT_TISSUE	HT1080_SOFT_TISSUE	0.98	2.04	0	ACH-000054	HT-1080	acetabulum	Metastasis	Soft_Tissue	fibrous_tissue_and_uncertain_origin	NS	NS	NS	NS	NS	CCLE	ATCC	Epithelial Adherent	EMEM+10%FBS	NA	5%DMSO		42.7	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Fibro	79.58792792
NCIH2087_LUNG	NCIH2087_LUNG	0.99	2.84	1	ACH-000841	NCI-H2087	lymph_node	Metastasis	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC		DMEM:F12 (1:1) + 10% FBS	"0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES"	5% DMSO		104.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	212.0987614
COV318_OVARY	COV318_OVARY	1	3.96	2	ACH-000256	COV318		Primary	Ovary	NS	NS	NS	NS	NS	NS	CCLE	ECACC	Polyglonal and fusiform adherent	DMEM + 10% FBS	2mM Glutamine	5%DMSO		93.1	ovary	ovary	Ovary:Carcinoma	99.50888996
NCIH2085_LUNG	NCIH2085_LUNG	0.99	2.68	1	ACH-000451	NCI-H2085		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC		DMEM:F12 (1:1) + 10% FBS	"0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES"	5% DMSO		98.9	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	111.5684726
NCIH510_LUNG	NCIH510_LUNG	0.99	2.77	1	ACH-000871	NCI-H510		Primary	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	mixed line	F-12K  ATCC  + 10% FBS	NA	5% DMSO		979	lung_small_cell	lung_small_cell	Lung:SCLC	259.731865
CAKI1_KIDNEY	CAKI1_KIDNEY	0.98	3.28	1	ACH-000433	Caki-1	skin	Metastasis	Kidney	NS	NS	NS	clear_cell_renal_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent epithelial.	McCoy's 5A +10%FBS	NA	5%DMSO		88.3	kidney	kidney	Kidney:Carcinoma	116.8955149
NCIH716_LARGE_INTESTINE	NCIH716_LARGE_INTESTINE	1	2.83	1	ACH-000491	NCI-H716	ascites	Metastasis	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	118.5641877
NCIH2066_LUNG	NCIH2066_LUNG	1	2.27	1	ACH-000727	NCI-H2066		Primary	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC		DMEM:HAM's F12  1:1 (ATCC catalog # 30-2006) + 5%  FBS	".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	5%DMSO		80.3	lung_small_cell	lung_small_cell	Lung:SCLC	161.4303635
NCIH1341_LUNG	NCIH1341_LUNG	1	2.04	0	ACH-000129	NCI-H1341	cervix	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Suspension	RPMI-1640   + 5% FBS	NA	10%DMSO		131.8	lung_small_cell	lung_small_cell	Lung:SCLC	84.02451807
NCIH2029_LUNG	NCIH2029_LUNG	1	1.9	0	ACH-000298	NCI-H2029	lymph_node	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC		DMEM:HAM's F12  1:1  + 5%  FBS	".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	5%DMSO		171.6	lung_small_cell	lung_small_cell	Lung:SCLC	89.90036362
C3A_LIVER	C3A_LIVER	1	2.29	0	ACH-001021	C3A		Primary	Liver	NS	NS	NS	hepatocellular_carcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	liver	liver	NA	NA
SW480_LARGE_INTESTINE	SW480_LARGE_INTESTINE	0.99	2.56	1	ACH-000842	SW480		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	Epithelial adherent	L15+10%FBS	NA	5%DMSO		56.4	colorectal	colorectal	Colorectal:Carcinoma	240.1277804
HS746T_STOMACH	HS746T_STOMACH	1	6.44	2	ACH-000616	Hs 746T	muscle	Metastasis	Stomach	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	130.8366927
LU65_LUNG	LU65_LUNG	1	2.35	1	ACH-000438	LU65		Primary	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	JCRB	Lymphocyte like with partially attached cells	RPMI 1640+10%FBS	NA	5% DMSO		NA	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	139.7910668
HS739T_FIBROBLAST	HS739T_FIBROBLAST	0.96	2	0	ACH-000413	Hs 739.T		Primary	Breast	NS	NS	NS	NS	NS	NS	CCLE							NA	breast	fibroblast_like	NA	147.0067171
SNUC2A_LARGE_INTESTINE	SNUC2A_LARGE_INTESTINE	1	1.98	0	ACH-000967	SNU-C2A		Primary	Large_Intestine	caecum	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	667.1912736
HEC151_ENDOMETRIUM	HEC151_ENDOMETRIUM	1	2	0	ACH-000972	HEC-151		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 15%  fetal calf serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	741.7712612
MSTO211H_PLEURA	MSTO211H_PLEURA	1	1.93	0	ACH-000335	MSTO-211H	pleura	Metastasis	Pleura	NS	NS	NS	NS	NS	NS	CCLE	ATCC	adherenet	RPMI+10%FBS	NA	5% DMSO		35.6	mesothelioma	mesothelioma	Lung:Mesothelioma	124.150508
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	2.02	0	ACH-000654	Raji		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Burkitt_lymphoma	NS	NS	CCLE	NIBRI						NA	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	170.4549408
SKMEL1_SKIN	SKMEL1_SKIN	0.98	3.61	1	ACH-000465	SK-MEL-1	lymph_node	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	melanoma	melanoma	Skin:Melanoma	112.654321
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.98	0	ACH-000953	SUP-T1	pleura	Metastasis	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_lymphoblastic_T_cell_leukaemia	NS	NS	CCLE	NIBRI						NA	T-cell_ALL	T-cell_ALL	Leukemia:ALL	509.7698434
JHH7_LIVER	JHH7_LIVER	1	3.1	1	ACH-000848	JHH-7		Primary	Liver	NS	NS	NS	hepatocellular_carcinoma	NS	NS	CCLE	NIBRI						NA	liver	liver	Liver:HCC	257.2902848
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2	0	ACH-000612	HuT 102		Primary	Haematopoietic_And_Lymphoid_Tissue	skin	NS	NS	mycosis_fungoides-Sezary_syndrome	NS	NS	CCLE	ATCC	suspension	RPMI+10%FBS		5%DMSO		NA	lymphoma_other	T-cell_lymphoma_other	NA	135.5808971
5637_URINARY_TRACT	5637_URINARY_TRACT	0.99	3.06	1	ACH-000905	5637		Primary	Urinary_Tract	bladder	NS	NS	NS	NS	NS	CCLE		adherent	RPMI1640+10%FBS	NA	5%DMSO		60.9	urinary_tract	urinary_tract	Bladder:Carcinoma	278.0195779
HCC38_BREAST	HCC38_BREAST	1	1.61	0	ACH-000276	HCC38		Primary	Breast	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	ATCC	"adherent, single cells and loosely attached clusters"	RPMI-1640 + 10% FBS	NA	5%DMSO		103.3	breast	breast	Breast:Carcinoma	96.75975762
DU4475_BREAST	DU4475_BREAST	1	2.02	0	ACH-000258	DU4475	breast	Metastasis	Breast	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	ATCC	"suspension, multicell aggregates"	RPMI-1640 + 10% FBS	NA	5%DMSO		145.6	breast	breast	Breast:Carcinoma	107.2866384
NCIH1573_LUNG	NCIH1573_LUNG	1	1.71	0	ACH-000916	NCI-H1573	soft_tissue	Metastasis	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	Adherent	DMEM/F12(1:1) +10 % FBS	".02 mg/ml insulin, .01 mg/ml transferrin, 25nM sodium selenite, 1ng/mL EGF,  50 nM hydrocortisone, 2 mM L-glutamine, 0.5 sodium pyruvate"	5% DMSO		118.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	337.2852014
NCIH508_LARGE_INTESTINE	NCIH508_LARGE_INTESTINE	0.99	2.31	0	ACH-000360	NCI-H508	abdominal_wall	Metastasis	Large_Intestine	caecum	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	94.03118402
NCIH1651_LUNG	NCIH1651_LUNG	1	2.92	2	ACH-000893	NCI-H1651		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	adherent	DMEM:F12 (1:1) + 10% FBS	"0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES"	5% DMSO		138.7	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	272.2196239
